filename,character,dialogue,scene
S07E17 The Cheap Wedding Dress.txt,Megan,"Oh no, these dresses are all so amazing but there is no way I could afford one.",20
S07E17 The Cheap Wedding Dress.txt,Megan,"Oh, thanks for the tip.",20
S07E17 The Cheap Wedding Dress.txt,Megan,"Oh I’m not, I just like to try these on.",20
S07E17 The Cheap Wedding Dress.txt,Megan,I’m just kidding. I’m getting married July 25th.,20
S07E17 The Cheap Wedding Dress.txt,Megan,Oooh it’s getting close!,22
S07E17 The Cheap Wedding Dress.txt,Megan,"So uh, who’s your photographer?",22
S07E17 The Cheap Wedding Dress.txt,Megan,We met with him. Did he show you the photos of the nude wedding he did?,22
S07E17 The Cheap Wedding Dress.txt,Megan,"I know! I almost called off my wedding. Oh, who’s your band?!",22
S07E17 The Cheap Wedding Dress.txt,Megan,"Oh, you’re so lucky. My fiancee wants the heavy metal band Carcass.",22
S07E17 The Cheap Wedding Dress.txt,Megan,Monica!,41
S07E17 The Cheap Wedding Dress.txt,Megan,Yeah!,41
S07E17 The Cheap Wedding Dress.txt,Megan,No!,41
S07E17 The Cheap Wedding Dress.txt,Megan,And now you’ll see me buying it.,41
S07E17 The Cheap Wedding Dress.txt,Megan,"Look, you don’t want to fight me.",41
