filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Melissa,Hey Rachel!,13
S07E05 The Engagement Picture.txt,Melissa,"Umm, is Tag here?",14
S07E05 The Engagement Picture.txt,Melissa,"Oh, I was gonna talk to him about doing something tonight.",14
S07E05 The Engagement Picture.txt,Melissa,"Well, we’ve been flirting back and forth, but I was hoping that tonight it would turn into something a little more than that.",14
S07E05 The Engagement Picture.txt,Melissa,Oh no!,14
S07E05 The Engagement Picture.txt,Melissa,Hey! Isn’t that Tag’s backpack.,14
S07E20 Rachels Big Kiss.txt,Melissa,"You have been M.I.A for the past seven sorority newsletters, what’s up with you?!",9
S07E20 Rachels Big Kiss.txt,Melissa,Shut up!,11
S07E20 Rachels Big Kiss.txt,Melissa,"Oh shut up more! Now, are you friends with Ralph?",11
S07E20 Rachels Big Kiss.txt,Melissa,"Listen, we-we have to have dinner. What-what are you doing tomorrow night?",12
S07E20 Rachels Big Kiss.txt,Melissa,You do now. You’re having dinner with me.,12
S07E20 Rachels Big Kiss.txt,Melissa,"Oh no, that’s-that’s an old card. Umm, I wanted to get out of that and-and do something where I can really help people and-and make a difference.",14
S07E20 Rachels Big Kiss.txt,Melissa,"Hmm Phoebe, were you ever in a sorority?",58
S07E20 Rachels Big Kiss.txt,Melissa,What one?,58
S07E20 Rachels Big Kiss.txt,Melissa,Yeah?,61
S07E20 Rachels Big Kiss.txt,Melissa,"Oh wow, Ray-ray I have no idea what you’re talking about.",61
S07E20 Rachels Big Kiss.txt,Melissa,I don’t know. I don’t remember a lot of things that never happened.,67
S07E20 Rachels Big Kiss.txt,Melissa,I’m sorry Ray-ray. I mean if I thought it happened I would say it. Maybe I passed out and you did stuff to me while I was sleeping.,67
S07E20 Rachels Big Kiss.txt,Melissa,She didn’t.,67
S07E20 Rachels Big Kiss.txt,Melissa,My God! You love me!,80
