filename,character,dialogue,scene
S09E03 The Pediatrician.txt,Mike,Yeah?,36
S09E03 The Pediatrician.txt,Mike,"I gotta tell you, I can't believe I'm doing this with you. Although I did just get out of a nine-year relationship, so I guess I should be open and taking some risks.",38
S09E03 The Pediatrician.txt,Mike,I am Mike.,38
S09E03 The Pediatrician.txt,Mike,"How do I and Joey know each other? Wow, if I had a nickel for every time somebody has asked me that.",40
S09E03 The Pediatrician.txt,Mike,"Well, I'm a lawyer.",42
S09E03 The Pediatrician.txt,Mike,"Actually, I just gave up my practice.",42
S09E03 The Pediatrician.txt,Mike,"I always wanted to play piano professionally, and I figured if I don't do this now, I never will.",42
S09E03 The Pediatrician.txt,Mike,"No, I didn't.",49
S09E03 The Pediatrician.txt,Mike,'Days of Our Lives'! That's why you look so familiar!,50
S09E03 The Pediatrician.txt,Mike,What?!,50
S09E03 The Pediatrician.txt,Mike,"I'm sorry too. And just to be clear, I didn't hit his mother with a car.",53
S09E03 The Pediatrician.txt,Mike,It was nice meeting you!,57
S09E03 The Pediatrician.txt,Mike,"Excuse me, hi. I was hoping I would run into you. Can we talk?",66
S09E03 The Pediatrician.txt,Mike,"I'm sorry, really, I'm so embarrassed. Really, I'm a pretty nice guy. Just ask my parole officer...Apparently I'm not a funny guy.",66
S09E03 The Pediatrician.txt,Mike,"Because I was told I'd get a free dinner, which I didn't. And that I'd meet a pretty girl. Which I did.",66
S09E03 The Pediatrician.txt,Mike,"My name in Mike, and I do play piano.",67
S09E03 The Pediatrician.txt,Mike,There isn't a piano here.,67
S09E03 The Pediatrician.txt,Mike,Really?,68
S09E03 The Pediatrician.txt,Mike,That's great. What kind of music do you play?,68
S09E03 The Pediatrician.txt,Mike,"Do you think that maybe, sometime, I could...",68
S09E03 The Pediatrician.txt,Mike,Okay. Do you think maybe sometime I could take you out?,68
S09E17 The Memorial Service.txt,Mike,Phoebe called me.,51
S09E17 The Memorial Service.txt,Mike,"Look, if I wanna see Phoebe and she wants to see...",51
S09E17 The Memorial Service.txt,Mike,"Oh! Sorry, I guess I was thrown off by the mention of my name!",52
S09E17 The Memorial Service.txt,Mike,Actually I've been playing a lot of love songs lately. I've missed you.,57
S09E17 The Memorial Service.txt,Mike,"I've missed you so much! No, I'm not gonna ask you to get back together because I know we want different things, but just to be with you one more night.",72
S09E17 The Memorial Service.txt,Mike,"It can't be any harder than this... I mean, If I had known the last time I saw you would be the last time, I... I would have stopped to memorize your face, the way you move, everything about you. If I had known the last time I kissed you would have been the last time... I never would have stopped.",72
S09E17 The Memorial Service.txt,Mike,"Oh, crap!",75
S09E17 The Memorial Service.txt,Mike,My friend Manny. I asked him to keep me away from you.,75
S10E17-S10E18 The Last One Part I  II.txt,Mike,Hey!,63
S10E17-S10E18 The Last One Part I  II.txt,Mike,"Oh, I made a little something. If I had more time to work on it, it'd be better, but..",63
S10E17-S10E18 The Last One Part I  II.txt,Mike,Seriously. Wanna make one of those?,75
S10E17-S10E18 The Last One Part I  II.txt,Mike,Really?,75
S04E10 The Girl From Poughkeepsie.txt,Mike,"Whoa-whoa-whoa-whoa! Is this, hot Rachel, that you took to the Christmas party, Rachel?",18
S04E10 The Girl From Poughkeepsie.txt,Mike,Oh wow! I’m free for her!,19
S04E10 The Girl From Poughkeepsie.txt,Mike,"Hey, Chandler, why don’t we talk this over at the Ranger game tomorrow?",19
S04E10 The Girl From Poughkeepsie.txt,Mike,"Maybe, before the game we could enjoy some eight year old some small batch Basel Hadens.",19
S09E23-S09E24 In Barbados.txt,Mike,Hello?,76
S09E23-S09E24 In Barbados.txt,Mike,Who is this?,76
S09E23-S09E24 In Barbados.txt,Mike,"Look, if Phoebe wants to marry David, she should, I'm not gonna stand in the way of that and neither should you.",78
S09E23-S09E24 In Barbados.txt,Mike,Hi Phoebe.,120
S09E23-S09E24 In Barbados.txt,Mike,I have a question I need to ask you.,120
S09E23-S09E24 In Barbados.txt,Mike,"Yeah, I understand, but before you do, she really needs to hear this.",120
S09E23-S09E24 In Barbados.txt,Mike,"Actually yeah, that'll be great.",121
S09E23-S09E24 In Barbados.txt,Mike,"Phoebe, I love you. I mean, I missed you so much these last few months and I thought we were apart for a good reason, but then I suddenly realized that there was no reason good enough to keep me from spending the rest of my life with you.",122
S09E23-S09E24 In Barbados.txt,Mike,"Sorry David, but she really has to know this.",122
S09E23-S09E24 In Barbados.txt,Mike,We can have any future you want.,124
S09E23-S09E24 In Barbados.txt,Mike,Is it ok if I hug you now?,126
S09E23-S09E24 In Barbados.txt,Mike,Oh... I'm back!,154
S09E23-S09E24 In Barbados.txt,Mike,They have a game room downstairs! Ping pong and stuff.,169
S09E23-S09E24 In Barbados.txt,Mike,I'll play ya!,186
S09E23-S09E24 In Barbados.txt,Mike,"Oh, by the way... I'm awesome!!",191
S09E23-S09E24 In Barbados.txt,Mike,You're ready to play?,192
S09E23-S09E24 In Barbados.txt,Mike,Wanna make it more interesting?,193
S09E23-S09E24 In Barbados.txt,Mike,Ten bucks a game?,193
S09E23-S09E24 In Barbados.txt,Mike,I'll make it a hundred!,193
S09E23-S09E24 In Barbados.txt,Mike,"To see who goes first, you got a quarter?",195
S09E23-S09E24 In Barbados.txt,Mike,"Oh, no! I don't think so! You know, according to standard table tennis rules if at any time a player uses his non racket bearing hand to touch the playing surface he or she forfeits the point.",199
S09E23-S09E24 In Barbados.txt,Mike,Do you?,237
S09E23-S09E24 In Barbados.txt,Mike,Do you?,237
S09E23-S09E24 In Barbados.txt,Mike,DO YOU?,237
S09E23-S09E24 In Barbados.txt,Mike,"You know, you should really look in a mirror before you call yourself that.",244
S09E23-S09E24 In Barbados.txt,Mike,That's what I'm thinking.,246
S09E23-S09E24 In Barbados.txt,Mike,"Ok, so it's a tie again, 41 to 41.",262
S09E23-S09E24 In Barbados.txt,Mike,So you forfeit?,266
S09E23-S09E24 In Barbados.txt,Mike,"Oh, that's ok. I don't care which of them I beat.",267
S09E23-S09E24 In Barbados.txt,Mike,Ok!,271
S09E06 The Male Nanny.txt,Mike,This is nice.,9
S09E06 The Male Nanny.txt,Mike,You need both hands for that?,10
S09E06 The Male Nanny.txt,Mike,Is it?,12
S09E06 The Male Nanny.txt,Mike,It's to my apartment.,16
S09E06 The Male Nanny.txt,Mike,"Yeah, look, and I don't want you to feel like you have to give me your key just because...",17
S09E06 The Male Nanny.txt,Mike,"Is this cool, huh?",19
S09E06 The Male Nanny.txt,Mike,So... how many guys have your key?,104
S09E06 The Male Nanny.txt,Mike,Your lipstick's on his mouth.,104
S09E06 The Male Nanny.txt,Mike,Did you uhm...,104
S09E06 The Male Nanny.txt,Mike,...kiss him?,104
S09E06 The Male Nanny.txt,Mike,Don't point your finger at me.,105
S09E06 The Male Nanny.txt,Mike,"Well, if I ever goto Minsk, you'd better watch out.",108
S09E06 The Male Nanny.txt,Mike,"Well, I might.",108
S09E06 The Male Nanny.txt,Mike,"Hey, what are you kidding me?",109
S09E06 The Male Nanny.txt,Mike,It's never gonna happen again right?,110
S10E12 Phoebes Wedding.txt,Mike,Thanks for coming you guys.,15
S10E12 Phoebes Wedding.txt,Mike,Is that why your hand is pressed against my crotch?,16
S10E12 Phoebes Wedding.txt,Mike,Yeah.,16
S10E12 Phoebes Wedding.txt,Mike,"Hey guys, how is it going?",23
S10E12 Phoebes Wedding.txt,Mike,"Yeah look, about tomorrow, I... I've got a question for ya. I just found out that one of my groomsmen had had an emergency and can't make it.",23
S10E12 Phoebes Wedding.txt,Mike,You both wanna do it? Uhm... there's only room for one.,25
S10E12 Phoebes Wedding.txt,Mike,"Yeah, yeah. Hey, thanks for doing that.",30
S10E12 Phoebes Wedding.txt,Mike,I intend to marry her.,31
S10E12 Phoebes Wedding.txt,Mike,No more so than acting.,32
S10E12 Phoebes Wedding.txt,Mike,"You're right. She probably will support me. Hey, unless we move in with you, dad?",32
S10E12 Phoebes Wedding.txt,Mike,Do I have a minute to go to the bathroom?,37
S10E12 Phoebes Wedding.txt,Mike,Is that what you say to Chandler?,38
S10E12 Phoebes Wedding.txt,Mike,Hey.,51
S10E12 Phoebes Wedding.txt,Mike,Joseph.,54
S10E12 Phoebes Wedding.txt,Mike,"Joey, I kinda have a lot to do today, what do you want?",57
S10E12 Phoebes Wedding.txt,Mike,That must have been one lousy movie.,59
S10E12 Phoebes Wedding.txt,Mike,"Uhm, did you guys know that there is a giant ice sculpture in the hall?",69
S10E12 Phoebes Wedding.txt,Mike,"Hey, I forgot my scarf.",81
S10E12 Phoebes Wedding.txt,Mike,"Oh, you haven't picked yet. Oh good, 'cause I had an idea. I thought it would be fun if the third groomsman was my family dog. Chappy.",81
S10E12 Phoebes Wedding.txt,Mike,I think I wanna get married to you today.,98
S10E12 Phoebes Wedding.txt,Mike,I guess.,105
S10E12 Phoebes Wedding.txt,Mike,"Oh, no!",107
S10E12 Phoebes Wedding.txt,Mike,My God! Aren't you freezing?,125
S10E12 Phoebes Wedding.txt,Mike,I love you too.,130
S10E12 Phoebes Wedding.txt,Mike,I do.,131
S09E09 Rachels Phone Number.txt,Mike,Bye.,16
S09E09 Rachels Phone Number.txt,Mike,"Eh, why don't we start with the beer?",17
S09E09 Rachels Phone Number.txt,Mike,Yeah.,18
S09E09 Rachels Phone Number.txt,Mike,My cousin's a paleontologist.,23
S09E09 Rachels Phone Number.txt,Mike,"Well, yeah.",73
S09E09 Rachels Phone Number.txt,Mike,"Ah, you mean lager.",73
S09E09 Rachels Phone Number.txt,Mike,Hello?,76
S09E09 Rachels Phone Number.txt,Mike,"Uh, no.� I just left.",77
S09E09 Rachels Phone Number.txt,Mike,"Wha . . .?� Go back?� To the ""land where time stands still""?",77
S09E09 Rachels Phone Number.txt,Mike,I can't do that!,77
S09E09 Rachels Phone Number.txt,Mike,Hey buddy.,83
S09E09 Rachels Phone Number.txt,Mike,"Um, can I come back in?",83
S09E09 Rachels Phone Number.txt,Mike,"So, except for the fermentation process, beer and ale are basically the same thing.� Fascinating isn't it.",105
S09E09 Rachels Phone Number.txt,Mike,It's true.� I did.,120
S09E09 Rachels Phone Number.txt,Mike,No.� Just his mom.,125
S09E09 Rachels Phone Number.txt,Mike,Yeah.,125
S09E09 Rachels Phone Number.txt,Mike,Hey.,136
S08E19 Joeys Interview.txt,Mike,And there is Kevin.,23
S10E14 Princess Consuela.txt,Mike,"Oh, it's just... It's up to you. It's your name. You've got to live with it.",14
S10E14 Princess Consuela.txt,Mike,You're a strange kind of grown-up.,16
S10E14 Princess Consuela.txt,Mike,Woo-wo-hey-hey-hey... Can we not talk about that right now?,16
S10E14 Princess Consuela.txt,Mike,Ah! I missed you,54
S10E14 Princess Consuela.txt,Mike,"So, what's new?",54
S10E14 Princess Consuela.txt,Mike,That's great! You changed you name?,54
S10E14 Princess Consuela.txt,Mike,You really did that?,56
S10E14 Princess Consuela.txt,Mike,"Yeah, but you can't do that.",56
