filename,character,dialogue,scene
S02E08 The List.txt,Mnca,"Oh my god, oh my god, oh my god!",2
S02E08 The List.txt,Mnca,"Oh my god, oh my god, oh my god!",2
S02E08 The List.txt,Mnca,There's an ad for a naked chef?,8
S02E08 The List.txt,Mnca,Wait a minute. I thought last night was great.,10
S02E08 The List.txt,Mnca,We are talking about Rachel here. You and Rachel.,10
S02E08 The List.txt,Mnca,"So, Mr. Rastatter, what exactly does this job entail? The ad wasn't too clear.",20
S02E08 The List.txt,Mnca,I'm sorry?,20
S02E08 The List.txt,Mnca,Ohh.,20
S02E08 The List.txt,Mnca,All right. Mmm-mmm.,21
S02E08 The List.txt,Mnca,Wow.,24
S02E08 The List.txt,Mnca,Just waiting for it to stop bubbling.,24
S02E08 The List.txt,Mnca,"Especially the after taste, you know, I'll tell ya, that'll last ya till Christmas.",26
S02E08 The List.txt,Mnca,How about Mockolate mousse?,27
S02E08 The List.txt,Mnca,"Ok, how about pilgrim Mockolate mousse?",27
S02E08 The List.txt,Mnca,We'll put buckles on it.,27
S02E08 The List.txt,Mnca,Hey.,28
S02E08 The List.txt,Mnca,"No, I'm sorry.",28
S02E08 The List.txt,Mnca,"Ok, this is pumpkin pie with mockolate cookie crumb crust. This is mockolate cranberry cake, and these are mockolate chip cookies. Just like the Indians served.",33
S02E08 The List.txt,Mnca,Oh my god good?,34
S02E08 The List.txt,Mnca,"You know, that's true. You'd be a great person to have around the day after an emergency.",61
S02E08 The List.txt,Mnca,What?,61
S02E08 The List.txt,Mnca,This was your idea?,61
S02E08 The List.txt,Mnca,Yeah. You!,62
S02E08 The List.txt,Mnca,"Oh, you must be freezing. You know what you need? How about a nice steaming cup of hot Mockolate?",69
S02E08 The List.txt,Mnca,"Now, in some of these recipes, the quantities may seem just a little unusual, uh, like these coconut mockolate holiday nut bars. I've indicated four cups of coconut, and four cups of crushed nut, and only, uh, one tablespoon of mockolate.",76
S02E08 The List.txt,Mnca,What?,76
S02E08 The List.txt,Mnca,"Oh, gosh, I'm sorry.",76
S02E08 The List.txt,Mnca,"Well, uh, I ate some.",77
S02E08 The List.txt,Mnca,Hello?,79
S02E08 The List.txt,Mnca,"Oh, not at all. I have no morals and I need the cash.",87
S02E08 The List.txt,Mnca,Cat hair.,87
S02E07 Ross Finds Out.txt,Mnca,"Chandler, I'm unemployed and in dire need of a project. Ya wanna work out? I can remake you.",2
S02E07 Ross Finds Out.txt,Mnca,Please.,2
S02E07 Ross Finds Out.txt,Mnca,"Nothing, just never seen you in little stretchy pants before.",5
S02E07 Ross Finds Out.txt,Mnca,C'mon give me five more. Five more.,8
S02E07 Ross Finds Out.txt,Mnca,Five more and I'll flash you.,9
S02E07 Ross Finds Out.txt,Mnca,Only if you say his full name.,17
S02E07 Ross Finds Out.txt,Mnca,Alright.,18
S02E07 Ross Finds Out.txt,Mnca,Why not?,38
S02E07 Ross Finds Out.txt,Mnca,"OK, if you say stop, then we stop.",38
S02E07 Ross Finds Out.txt,Mnca,"No way, with one pound to go, c'mon. We're workin', we're movin', we're in the zone we're groovin'.",61
S02E07 Ross Finds Out.txt,Mnca,"Ooh, what'cha gonna do, fat boy, huh? What?",61
S02E07 Ross Finds Out.txt,Mnca,"Well, thanks.",61
S02E07 Ross Finds Out.txt,Mnca,"Well, you know.",61
S02E07 Ross Finds Out.txt,Mnca,"Well no, but um.",62
S02E07 Ross Finds Out.txt,Mnca,"Y'know, I try to stay positive. . .",62
S02E07 Ross Finds Out.txt,Mnca,Alright.,62
S02E07 Ross Finds Out.txt,Mnca,OK. Just for a little while.,62
S02E10 Russ.txt,Mnca,"You were so amazing as the king. I was really impressed, I was.",2
S02E10 Russ.txt,Mnca,Maybe.,8
S02E10 Russ.txt,Mnca,You and me both.,9
S02E10 Russ.txt,Mnca,"OK, I'll see you later babe.",11
S02E10 Russ.txt,Mnca,"Oh, isn't he? Oh, you know, I really think this time it may work with him. I mean, he just makes me feel so good and I've been feeling so lousy this last couple of months, no job, no boyfriend. Well, at least my cup is half full.",14
S02E10 Russ.txt,Mnca,"And for our two-week anniversary, he's gonna take me to his cousin's cabin for the weekend.",14
S02E10 Russ.txt,Mnca,Really? I only had two glasses.,15
S02E10 Russ.txt,Mnca,So what. So he drank a lot tonight.,17
S02E10 Russ.txt,Mnca,"Well, we just happen to go to alot of places where you might drink. I mean, how do you go to a wine tasting without having a drink? Or... or to a club, or to the... zoo.",17
S02E10 Russ.txt,Mnca,"Rach, does this have nonfat milk?",18
S02E10 Russ.txt,Mnca,You know what? It seems like you've been making an awful lot of stuff Irish lately.,22
S02E10 Russ.txt,Mnca,Bobby.,22
S02E10 Russ.txt,Mnca,"Look, maybe this is none of my business, or maybe it is, I don't know... but, uh, I'm kind of worried about you.",22
S02E10 Russ.txt,Mnca,"So, what are you saying now?",22
S02E10 Russ.txt,Mnca,Hey.,26
S02E10 Russ.txt,Mnca,What?,27
S02E10 Russ.txt,Mnca,What are you talking about?,27
S02E10 Russ.txt,Mnca,It's Fun Bobby.,36
S02E10 Russ.txt,Mnca,"Oh, he's sober alright. Just turns out that Fun Bobby was fun for a reason.",36
S02E10 Russ.txt,Mnca,"Oh God, yes!",38
S02E10 Russ.txt,Mnca,"Ahhh, hey honey? Don't you have to be at your interview now?",38
S02E10 Russ.txt,Mnca,Oh.... my... God.,39
S02E10 Russ.txt,Mnca,Not that bad? Did you hear the hammer story?,39
S02E10 Russ.txt,Mnca,"But I'm gonna be there... for the rest of my life. I mean, I can't break up with him. I'm the one who made him quit drinking. He's dull because of me.",39
S02E10 Russ.txt,Mnca,"She's just upset because she, uh, she buttered a spider into her toast this morning.",45
S02E10 Russ.txt,Mnca,See? They're as different as night and... later that night.,46
S02E10 Russ.txt,Mnca,Bye.,47
S02E10 Russ.txt,Mnca,Do you not see it?,49
S02E10 Russ.txt,Mnca,Morning.,66
S02E10 Russ.txt,Mnca,"Bobby and I are going away for the weekend, remember?",66
S02E10 Russ.txt,Mnca,"Oh no no, this is not for him, this is for me. That way he's still sober but I find his stories about shoelaces much more amusing.",67
S02E10 Russ.txt,Mnca,Hi. I'll be ready in just a second.,69
S02E10 Russ.txt,Mnca,Sure.,69
S02E10 Russ.txt,Mnca,"Oh God, you fell off the wagon.",70
S02E10 Russ.txt,Mnca,What about me?,70
S02E10 Russ.txt,Mnca,Oh... shoot.,71
S02E10 Russ.txt,Mnca,OK.,71
S02E10 Russ.txt,Mnca,Take care.,72
S02E10 Russ.txt,Mnca,Well we... we kinda broke up.,73
