filename,character,dialogue,scene
S09E12 Phoebes Rats.txt,Molly,Hi.,5
S09E12 Phoebes Rats.txt,Molly,"You mean, when you were a baby.",21
S09E12 Phoebes Rats.txt,Molly,Bye,23
S09E12 Phoebes Rats.txt,Molly,So where did you study?,57
S09E12 Phoebes Rats.txt,Molly,"No, where did you study acting?",57
S09E12 Phoebes Rats.txt,Molly,"Sure, I'll go check on Emma.",58
S09E13 Monica Sings.txt,Molly,Hi!,10
S09E13 Monica Sings.txt,Molly,"No I'm here to take Emma to your mother's, remember?",10
S09E13 Monica Sings.txt,Molly,Don't panic!,10
S09E13 Monica Sings.txt,Molly,There is a man behind your curtain. I have a mace in my purse.,10
S09E13 Monica Sings.txt,Molly,Hello! I just go and get Emma.,10
