filename,character,dialogue,scene
S08E05 Rachels Date.txt,Mona,Ross?,69
S08E05 Rachels Date.txt,Mona,Hey it’s Mona! From the wedding.,69
S08E05 Rachels Date.txt,Mona,Hi!,69
S08E05 Rachels Date.txt,Mona,"I’m good except umm, you still owe me a dance.",69
S08E05 Rachels Date.txt,Mona,I think I might need one more cup of coffee.,71
S08E05 Rachels Date.txt,Mona,Okay.,71
S08E01 I Do.txt,Mona,You think so? I’ve always kinda hated it.,29
S08E01 I Do.txt,Mona,Uh-huh.,29
S08E01 I Do.txt,Mona,Really?! Well see? I never knew about her.,29
S08E01 I Do.txt,Mona,Oh good. Now there’ll be someone there who likes my name.,30
S08E01 I Do.txt,Mona,Hi!,52
S08E01 I Do.txt,Mona,Sure.,52
S08E01 I Do.txt,Mona,Yeah.,52
S08E01 I Do.txt,Mona,Ohhhh!,55
S08E01 I Do.txt,Mona,How cute was that?,60
S08E01 I Do.txt,Mona,"So, is it my turn now?",67
S08E01 I Do.txt,Mona,"Uh, that’s okay. You can dance with her first.",69
S08E01 I Do.txt,Mona,That is so sweet!,93
S08E01 I Do.txt,Mona,"No, I mean it. There are so few genuinely nice guys out there.",93
S08E01 I Do.txt,Mona,It’s Joey right?,93
S08E06 The Halloween Party.txt,Mona,Hi!,49
S08E06 The Halloween Party.txt,Mona,"Umm, actually I’m just a nurse.",49
S08E06 The Halloween Party.txt,Mona,Hi!,49
S08E06 The Halloween Party.txt,Mona,"Wait-wait! You’re umm, you’re a potato…",49
S08E06 The Halloween Party.txt,Mona,And the antennae…Oh my God you’re Spudnik!,49
S08E06 The Halloween Party.txt,Mona,"Hey, you guys could arm wrestle.",66
S08E08 The Stripper.txt,Mona,So it was really cool seeing you lecture today.,21
S08E08 The Stripper.txt,Mona,"Oh no-no, I-I had my eyes closed so I could concentrate and y’know take it all in.",21
S08E08 The Stripper.txt,Mona,"So, I gotta get going.",21
S08E08 The Stripper.txt,Mona,Yeah.,21
S08E08 The Stripper.txt,Mona,"Oh wow! So, you’re more than just dinosaurs.",37
S08E08 The Stripper.txt,Mona,Oh my God! Oh my God! I’m so sorry!,38
S08E08 The Stripper.txt,Mona,You got Rachel pregnant?!,40
S08E08 The Stripper.txt,Mona,What?!,41
S08E08 The Stripper.txt,Mona,Wh…,43
S08E08 The Stripper.txt,Mona,Tramp?!,44
S08E08 The Stripper.txt,Mona,How could you have kept all of this from me?,48
S08E08 The Stripper.txt,Mona,"Oh good, you’re here. Yeah, and I was worried that it was going to be uncomfortable.",62
S08E08 The Stripper.txt,Mona,How can I be sure on that?,62
S08E08 The Stripper.txt,Mona,"Y’know, I-I-I just…I don’t want to get in the middle of something so complicated.",63
S08E08 The Stripper.txt,Mona,I’m not sure yet. Why didn’t you just tell me about all this?,64
S08E08 The Stripper.txt,Mona,Yeah? Well you still shoulda told me.,64
S08E17 The Tea Leaves.txt,Mona,No-no that’s a man’s shirt.,40
S08E17 The Tea Leaves.txt,Mona,"Ross, what are you doing?!",56
S08E17 The Tea Leaves.txt,Mona,"Yeah, you still have feelings for me. And-and to be honest, I-I still have feelings for you. And I wish that we can work it out Ross, but we can’t. It’s too complicated with you and Rachel and the baby, I-I just… It just wasn’t meant to be.",75
S08E15 The Birthing Video.txt,Mona,Hi!,38
S08E15 The Birthing Video.txt,Mona,Good.,39
S08E15 The Birthing Video.txt,Mona,I brought you back a present.,39
S08E15 The Birthing Video.txt,Mona,I think it’s interesting.,40
S08E15 The Birthing Video.txt,Mona,"I missed you, too! So, how was your week?",40
S08E15 The Birthing Video.txt,Mona,How exciting!,40
S08E15 The Birthing Video.txt,Mona,Oh no.,40
S08E15 The Birthing Video.txt,Mona,"So, what’d you tell him?",45
S08E15 The Birthing Video.txt,Mona,"Change of plans, I made you a special Valentine’s dinner! Surprise!",59
S08E15 The Birthing Video.txt,Mona,"Seriously, what is she doing?",63
S08E15 The Birthing Video.txt,Mona,Why?,63
S08E15 The Birthing Video.txt,Mona,"Okay, but it’s Valentine’s Day!",63
S08E15 The Birthing Video.txt,Mona,Can’t we just ask her to go?,63
S08E15 The Birthing Video.txt,Mona,"Oh, my God! She has food delivered here?",64
S08E15 The Birthing Video.txt,Mona,You got another ex-wife back there?,65
S08E15 The Birthing Video.txt,Mona,"Oh, Rachel! Wait! Hey, I hope you don’t take this the wrong way, but, but, um… what are you doing?",67
S08E15 The Birthing Video.txt,Mona,"No, no. Listen, Ross is too nice to say anything, but this is his apartment, and, and, we gotta have some boundaries, so why don’t you go back to your place and give us some privacy?",67
S08E11 Rosss Step Forward.txt,Mona,Hi! Look! I got our pictures developed from Rockefeller Center.,5
S08E11 Rosss Step Forward.txt,Mona,"Okay. Okay, here’s a good one of us.",9
S08E11 Rosss Step Forward.txt,Mona,"Y’know, every year I say I’m gonna send out holiday cards and I never do it. Do you wanna, do you wanna send this one out together?",9
S08E11 Rosss Step Forward.txt,Mona,"Yeah, y’know. Happy holidays from Mona and Ross. It’ll be cute, okay?",10
S08E11 Rosss Step Forward.txt,Mona,"Oh, I gotta get to work. So call me later?",11
S08E11 Rosss Step Forward.txt,Mona,Bye guys.,11
S08E11 Rosss Step Forward.txt,Mona,Hi!,17
S08E11 Rosss Step Forward.txt,Mona,"Hey, I went by the photo shop, take a look, here is a mockup of our card. What do you think?",17
S08E11 Rosss Step Forward.txt,Mona,"Now, do you think it should say, ""Love Ross and Mona?""",17
S08E11 Rosss Step Forward.txt,Mona,How many did you want? I’m getting a hundred.,17
S08E11 Rosss Step Forward.txt,Mona,Really? Why not?,17
S08E11 Rosss Step Forward.txt,Mona,"Oh y’know, I didn’t think of it that way. You’re right. You’re right. So, can I ask you a question?",17
S08E11 Rosss Step Forward.txt,Mona,Where are we?,17
S08E11 Rosss Step Forward.txt,Mona,"Y’know, like where are we? Where is this relationship going?",17
S08E11 Rosss Step Forward.txt,Mona,"I mean I love spending time with you, y’know I just—I hope we’re moving forward. I mean, we should probably talk about that. Don’t you think?",17
S08E11 Rosss Step Forward.txt,Mona,What?,18
S08E11 Rosss Step Forward.txt,Mona,Okay. I—But I think we should still have this conversation.,18
S08E11 Rosss Step Forward.txt,Mona,"Yeah, I-I think I suggested that.",26
S08E11 Rosss Step Forward.txt,Mona,Okay.,27
S08E11 Rosss Step Forward.txt,Mona,"I’m sorry, so umm, so where are we?",28
S08E11 Rosss Step Forward.txt,Mona,Okay…,28
S08E11 Rosss Step Forward.txt,Mona,Really?!,29
S08E11 Rosss Step Forward.txt,Mona,You don’t think this is too fast.,29
S08E11 Rosss Step Forward.txt,Mona,I don’t understand. You-you give me a key to your apartment and then you change the lock.,40
S08E11 Rosss Step Forward.txt,Mona,"Umm, I-I thought we were moving forward and now you’re-you’re sending me all these mixed signals. What are you trying to tell me?",41
S08E11 Rosss Step Forward.txt,Mona,What?,41
