filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Monica,What’s the matter?,2
S07E05 The Engagement Picture.txt,Monica,"Oh, my mom called, they’re gonna run our engagement announcement in the local paper, so we’re looking for a good picture of us.",2
S07E05 The Engagement Picture.txt,Monica,"That’s not true, there are great pictures of us!",2
S07E05 The Engagement Picture.txt,Monica,"I know, but look at me all tan.",4
S07E05 The Engagement Picture.txt,Monica,Chandler what do you say?,5
S07E05 The Engagement Picture.txt,Monica,"Chandler, listen to me sweetie, I know you can do this. Okay? You have a beautiful smile.",18
S07E05 The Engagement Picture.txt,Monica,Or not.,21
S07E05 The Engagement Picture.txt,Monica,That’s it! Take it! Take it! Take it!,30
S07E05 The Engagement Picture.txt,Monica,Do you really want to pull at that thread?,34
S07E05 The Engagement Picture.txt,Monica,Are you okay?,68
S07E05 The Engagement Picture.txt,Monica,What?!,68
S07E05 The Engagement Picture.txt,Monica,"Chandler, what were you thinking?",68
S07E05 The Engagement Picture.txt,Monica,Chandler?,69
S07E05 The Engagement Picture.txt,Monica,Hey guys check it out! My mom sent me the paper!,87
S07E05 The Engagement Picture.txt,Monica,"Yeah, we really do!",89
S07E05 The Engagement Picture.txt,Monica,Wow! Imagine what our kids would look like!,89
S01E18 All The Poker.txt,Monica,Do you really want a job with Popular Mechanics?,2
S01E18 All The Poker.txt,Monica,"Hey, guys.",4
S01E18 All The Poker.txt,Monica,Lots of responses.,5
S01E18 All The Poker.txt,Monica,"Oh, please, that is such a lame excuse!",18
S01E18 All The Poker.txt,Monica,"I mean, that's a typical guy response.",18
S01E18 All The Poker.txt,Monica,"So I wouldn't need any, right? Cause I have a straight.",20
S01E18 All The Poker.txt,Monica,"Alright, here we go. We've got salmon roulettes and assorted crudites.",24
S01E18 All The Poker.txt,Monica,"Alright, you know, we got it, we got it. Let's play for real. High stakes... big bucks...",26
S01E18 All The Poker.txt,Monica,"Hell no, we'll pay!",31
S01E18 All The Poker.txt,Monica,And you know what? We want a rematch.,31
S01E18 All The Poker.txt,Monica,"Yeah, I know. He can get really competitive.",42
S01E18 All The Poker.txt,Monica,What?,42
S01E18 All The Poker.txt,Monica,Please! I am not as bad as Ross.,42
S01E18 All The Poker.txt,Monica,"That was not an incident! I-I was gesturing, a-and the plate slipped out of my hand.",42
S01E18 All The Poker.txt,Monica,You're kidding! Where? Where?,43
S01E18 All The Poker.txt,Monica,"Oh, Rachel!",44
S01E18 All The Poker.txt,Monica,"Well, what's the job?",44
S01E18 All The Poker.txt,Monica,I don't think so.,46
S01E18 All The Poker.txt,Monica,What?,46
S01E18 All The Poker.txt,Monica,Really?,46
S01E18 All The Poker.txt,Monica,"Uh, Aunt Iris? This is Phoebe, and that's Rachel...",48
S01E18 All The Poker.txt,Monica,"OK, great. You'll tell us and we'll laugh. Let's play poker.",51
S01E18 All The Poker.txt,Monica,"Ha, ha, very funny, very funny. But I think we'd like to give poker another try. Shall we, ladies?",52
