filename,character,dialogue,scene
S01E16 The Two Parts Part I.txt,Nina,Hi.,23
S01E16 The Two Parts Part I.txt,Nina,You wanted to see me?,23
S01E16 The Two Parts Part I.txt,Nina,"Which is bad, because?",23
S01E16 The Two Parts Part I.txt,Nina,Your... excuse me?,23
S01E16 The Two Parts Part I.txt,Nina,"Oh, Net Usage Statistics, right. Gotcha, gotcha. Won’t happen again. I wouldn’t want to do anything to hurt your... ""wenus.""",24
S01E16 The Two Parts Part I.txt,Nina,Are you okay?,48
S01E16 The Two Parts Part I.txt,Nina,Do you have a sec?,98
S01E16 The Two Parts Part I.txt,Nina,"I don’t know. For the past couple days, people have been avoiding me and giving me these really strange looks.",98
S01E16 The Two Parts Part I.txt,Nina,Maybe. But that doesn’t explain why they keep taking my scissors.,98
S01E16 The Two Parts Part I.txt,Nina,I am?,98
S01E16 The Two Parts Part I.txt,Nina,What?,101
