filename,character,dialogue,scene
S05E03 Hundredth.txt,Nurse,Hi.,3
S05E03 Hundredth.txt,Nurse,Okay. Have you started having contractions?,3
S05E03 Hundredth.txt,Nurse,Well…,3
S10E17-S10E18 The Last One Part I  II.txt,Nurse,We'll just get him cleaned up a bit.,29
S10E17-S10E18 The Last One Part I  II.txt,Nurse,We're going to take Erica to recovery now.,55
S06E15-S06E16 That Could Have Been Part I  II.txt,Nurse,You’ve done all you can Dr. Wesley. You have got to let her go.,107
S01E08 Nana Dies Twice.txt,Nurse,Mrs. Geller?,12
S01E08 Nana Dies Twice.txt,Nurse,This almost never happens!,19
S08E03 Rachel Tells....txt,Nurse,"Okay Rachel, are you comfortable?",86
S08E03 Rachel Tells....txt,Nurse,The doctor will be here in a minute to do your sonogram.,87
S09E01 No One Proposes.txt,Nurse,Hey! Are you ready to try nursing again?,35
S09E01 No One Proposes.txt,Nurse,"It’s all right honey, it takes some babies a while to get it, but don’t worry. It’ll happen.",35
S09E01 No One Proposes.txt,Nurse,"Hey, she just woke up! She’s hungry. Why don’t we give this another try?",61
S09E01 No One Proposes.txt,Nurse,I’ll come back for her later.,63
S10E13 Joey Speaks French.txt,Nurse,Absolutely.,18
S10E13 Joey Speaks French.txt,Nurse,"He's under sedation, so he's pretty much out.",18
S10E13 Joey Speaks French.txt,Nurse,"Miss Green, your father's doctor is on the phone if you'd like to speak to him.",19
S08E23 Rachel Has A Baby.txt,Nurse,Right! We have a semi-private labor room waiting for you. So in just a minute…,8
S08E23 Rachel Has A Baby.txt,Nurse,"Yes, I see that here. Unfortunately we can’t guarantee a private room and currently they’re all unavailable.",9
S08E23 Rachel Has A Baby.txt,Nurse,I’m sorry. Semi-private rooms are all we have.,10
S08E23 Rachel Has A Baby.txt,Nurse,This is a hospital.,12
S08E23 Rachel Has A Baby.txt,Nurse,Would you like to see a semi-private room?,14
S08E23 Rachel Has A Baby.txt,Nurse,I think I know who you’re talking about.,69
S08E23 Rachel Has A Baby.txt,Nurse,"I’m sorry, that information is restricted to hospital staff…",69
S08E23 Rachel Has A Baby.txt,Nurse,Dr. Drake who?,70
S08E23 Rachel Has A Baby.txt,Nurse,A doctor at this hospital?,70
S08E23 Rachel Has A Baby.txt,Nurse,He’s in room 816.,70
S08E23 Rachel Has A Baby.txt,Nurse,I don’t think the next patient is very far along.,94
S04E08 Chandler In A Box.txt,Nurse,Dr. Burke will see you know.,35
S04E08 Chandler In A Box.txt,Nurse,"Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now.",35
S08E11 Rosss Step Forward.txt,Nurse,Hi!,19
S08E11 Rosss Step Forward.txt,Nurse,"Just so you know, Dr. Long can’t be here today, she was called to the hospital, so Dr. Schiff will be seeing you.",19
S01E23 The Birth.txt,Nurse,"Breathe, breathe, breathe...",42
S01E23 The Birth.txt,Nurse,"It's just her water breaking. Calm down, will you?",43
S01E23 The Birth.txt,Nurse,"All right, honey, time to start pushing.",75
S01E23 The Birth.txt,Nurse,"All right, all right, there's a few too many people in this room, and there's about to be one more, so anybody who's not an ex-husband or a lesbian life partner, out you go!",84
S01E23 The Birth.txt,Nurse,Out!,86
S01E17 The Two Parts Part II.txt,Nurse,My god. You still have your Christmas lights up?,3
S01E17 The Two Parts Part II.txt,Nurse,Fill this out and bring it back to me.,4
S01E17 The Two Parts Part II.txt,Nurse,Why?,14
S01E17 The Two Parts Part II.txt,Nurse,You're that stupid.,119
S01E17 The Two Parts Part II.txt,Nurse,"Well, you know your insurance will cover that.",121
S01E17 The Two Parts Part II.txt,Nurse,Excuse me... This hospital is for people!,132
