filename,character,dialogue,scene
S10E02 Ross Is Fine.txt,Owen,Yeah.,34
S10E02 Ross Is Fine.txt,Owen,You were?,34
S10E02 Ross Is Fine.txt,Owen,Huh?,34
S10E02 Ross Is Fine.txt,Owen,I have a badge in it.,34
S10E02 Ross Is Fine.txt,Owen,You wanna see it?,34
S10E02 Ross Is Fine.txt,Owen,What?!?,34
S10E02 Ross Is Fine.txt,Owen,I'm adopted?,34
S10E02 Ross Is Fine.txt,Owen,I'm adopted?!,47
S10E02 Ross Is Fine.txt,Owen,He told me! And he paid me 50 dollars not to tell.,47
S10E02 Ross Is Fine.txt,Owen,He isn't?!,47
