filename,character,dialogue,scene
S01E12 The Dozen Lasagnas.txt,Paolo,"Buon Giorno, Bella Phoebe!",48
S01E12 The Dozen Lasagnas.txt,Paolo,"Uh, Racquela tell me you massage, eh?",48
S01E12 The Dozen Lasagnas.txt,Paolo,"Uh, I am, uh, being naked?",49
S01E12 The Dozen Lasagnas.txt,Paolo,"No, that's cold, that's cold, that's...",91
S01E12 The Dozen Lasagnas.txt,Paolo,"Uh, I am, uh, to say good-bye.",95
S01E12 The Dozen Lasagnas.txt,Paolo,Grazie.,96
S01E11 Mrs. Bing.txt,Paolo,Bona sera.,16
S01E11 Mrs. Bing.txt,Paolo,Ah! Nora Bing!,17
S01E11 Mrs. Bing.txt,Paolo,"Ciao, bela.",49
S01E07 The Blackout.txt,Paolo,Ross!,104
S01E07 The Blackout.txt,Paolo,Thing?,105
S01E07 The Blackout.txt,Paolo,"Ah, you... have the sex?",105
S01E07 The Blackout.txt,Paolo,Bed?,105
S01E07 The Blackout.txt,Paolo,Oh!,105
S01E07 The Blackout.txt,Paolo,Si.,105
S01E07 The Blackout.txt,Paolo,Poco... a leetle.,105
S01E07 The Blackout.txt,Paolo,No.,105
