filename,character,dialogue,scene
S08E18 In Massapequa.txt,Parker,Why don’t all of you tell me a little about your self?,13
S08E18 In Massapequa.txt,Parker,"Rachel, you have life growing inside you. Is there anything in this world more miraculous than—Oh a picture of a dog! Whose is this?",14
S08E18 In Massapequa.txt,Parker,"Oh well, at least you were lucky to have him. Bow-wow old friend, bow-wow. So where’s the party?",14
S08E18 In Massapequa.txt,Parker,"Maaaassapequa, sounds like a magical place. Tell me about Massapequa, is it steep in Native American history? {Transcriber’s Note: Interestingly Alec Baldwin was born in Massapequa.}",14
S08E18 In Massapequa.txt,Parker,We’re driving!?,15
S08E18 In Massapequa.txt,Parker,Aces!,15
S08E18 In Massapequa.txt,Parker,Come on!,25
S08E18 In Massapequa.txt,Parker,Are you okay? You seem kind of quiet.,31
S08E18 In Massapequa.txt,Parker,Ah! Oysters! Let me feed you one.,32
S08E18 In Massapequa.txt,Parker,Please.,32
S08E18 In Massapequa.txt,Parker,I won’t quit until you try.,32
S08E18 In Massapequa.txt,Parker,What are they like? I’ve never had one.,33
S08E18 In Massapequa.txt,Parker,"No, they look too weird.",33
S08E18 In Massapequa.txt,Parker,Look! It’s the bunny hop!,40
S08E18 In Massapequa.txt,Parker,You do?!,40
S08E18 In Massapequa.txt,Parker,My God what a fantastically well lit hallway!,47
S08E18 In Massapequa.txt,Parker,"I must say this apartment, its, its, There are no words…",47
S08E18 In Massapequa.txt,Parker,It’s a haven. A third-floor paradise. A modern-day Eden in the midst…,47
S08E18 In Massapequa.txt,Parker,I love games!,48
S08E18 In Massapequa.txt,Parker,Or…Jenga.,49
S08E18 In Massapequa.txt,Parker,"I lose, now Jenga.",50
S08E18 In Massapequa.txt,Parker,Is something wrong?,50
S08E18 In Massapequa.txt,Parker,"Well, excuse me for putting a good spin on a traffic jam!",50
S08E18 In Massapequa.txt,Parker,I’m sorry that’s who I am. I’m a positive person.,50
S08E18 In Massapequa.txt,Parker,"So what do you want me to do, you want me to be more negative, less happy?",50
S08E18 In Massapequa.txt,Parker,"Fine! Well then to quote Ross, ""I’d better be going.""",50
S08E18 In Massapequa.txt,Parker,Isn’t this the most incredible fight you’ve ever had in your entire life?,52
