filename,character,dialogue,scene
S06E23 The Ring.txt,Paul,Hi Phoebe.,12
S06E23 The Ring.txt,Paul,Can’t complain.,12
S06E23 The Ring.txt,Paul,Ross!,17
S06E23 The Ring.txt,Paul,Good to see you too!,17
S06E23 The Ring.txt,Paul,"Honey I made a reservation at China Garden, is that okay?",20
S06E23 The Ring.txt,Paul,It was fine.,20
S06E23 The Ring.txt,Paul,I’m thinking that you are looking really fine it that dress.,20
S06E23 The Ring.txt,Paul,Are you talking about having sex?,21
S06E23 The Ring.txt,Paul,Normal.,21
S06E23 The Ring.txt,Paul,Nope! That never happened to me!,21
S06E23 The Ring.txt,Paul,Nope.,21
S06E23 The Ring.txt,Paul,Okay.,21
S06E23 The Ring.txt,Paul,Okay.,21
S06E23 The Ring.txt,Paul,When I was six years old.,21
S06E23 The Ring.txt,Paul,I wanted a big wheel. And instead my parents got me this little plastic chicken that you hop around on. It was embarrassing; kids made fun of me. That was a pretty tough year.,21
S06E23 The Ring.txt,Paul,It was horrible. They called me chicken boy.,22
S06E23 The Ring.txt,Paul,"Oh, I couldn’t eat now.",24
S06E23 The Ring.txt,Paul,Rachel?,51
S06E23 The Ring.txt,Paul,"No! No! It’s just that, my dad never did. I miss my dad.",53
S06E23 The Ring.txt,Paul,Hey Chandler?,53
S06E23 The Ring.txt,Paul,Would you…….Would you hug me?,53
S06E23 The Ring.txt,Paul,Five more seconds.,55
S06E23 The Ring.txt,Paul,"Hey! I have so much more to tell ya, I’ve written it all down!",68
S06E23 The Ring.txt,Paul,A surfer.,70
S06E23 The Ring.txt,Paul,"I wanted to be one with the waves, y’know?",70
S06E23 The Ring.txt,Paul,What?! I can’t believe you’re trying to stifle me! When just 14 hours ago we figured out that that is exactly what my mother was trying to do to me!,72
S06E21 Ross Meets Elizabeths Dad.txt,Paul,I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,27
S06E21 Ross Meets Elizabeths Dad.txt,Paul,"So Ross, what your problem?",27
S06E21 Ross Meets Elizabeths Dad.txt,Paul,Why can’t you get a girlfriend your own age?,27
S06E21 Ross Meets Elizabeths Dad.txt,Paul,I don’t like you going out with my daughter Ross.,28
S06E21 Ross Meets Elizabeths Dad.txt,Paul,Okay.,28
S06E21 Ross Meets Elizabeths Dad.txt,Paul,Fine! Two minutes. Go.,29
S06E21 Ross Meets Elizabeths Dad.txt,Paul,I’m Irish.,32
S06E21 Ross Meets Elizabeths Dad.txt,Paul,"No, unfortunately Lizzie’s mom passed away shortly after she was born. I raised her by myself.",35
S06E21 Ross Meets Elizabeths Dad.txt,Paul,I get that a lot.,36
S06E21 Ross Meets Elizabeths Dad.txt,Paul,I had a sister.,38
S06E21 Ross Meets Elizabeths Dad.txt,Paul,She passed away.,38
S06E21 Ross Meets Elizabeths Dad.txt,Paul,"Oh, you don’t have to do that every time.",39
S06E21 Ross Meets Elizabeths Dad.txt,Paul,A part of him did yes.,40
S06E21 Ross Meets Elizabeths Dad.txt,Paul,I’m already here.,42
S06E21 Ross Meets Elizabeths Dad.txt,Paul,No.,49
S06E21 Ross Meets Elizabeths Dad.txt,Paul,Just call me Paul.,53
S06E21 Ross Meets Elizabeths Dad.txt,Paul,"Well, we were very young when we had her.",54
S06E21 Ross Meets Elizabeths Dad.txt,Paul,"I’m just me, my wife died shortly after Lizzie was born.",55
S06E21 Ross Meets Elizabeths Dad.txt,Paul,Yes I did.,56
S06E21 Ross Meets Elizabeths Dad.txt,Paul,Hi Ross.,61
S06E21 Ross Meets Elizabeths Dad.txt,Paul,"Yeah Ross it’s okay, it’s me, Mr. Stevens.",63
S06E21 Ross Meets Elizabeths Dad.txt,Paul,So Ross was in college and decided to jump at the chance to take a young girl to her high school prom.,77
S06E21 Ross Meets Elizabeths Dad.txt,Paul,I beg your pardon?,81
S06E21 Ross Meets Elizabeths Dad.txt,Paul,You have a son?,81
S06E21 Ross Meets Elizabeths Dad.txt,Paul,You two were married?!,84
S06E21 Ross Meets Elizabeths Dad.txt,Paul,How to make the next one even shorter?,100
S06E21 Ross Meets Elizabeths Dad.txt,Paul,"Well, this is fun. So Ross, did you kill any of these wives?",101
