filename,character,dialogue,scene
S03E21 The Chick And The Duck.txt,Pete,Hi!,17
S03E21 The Chick And The Duck.txt,Pete,Wow! Skates!,18
S03E21 The Chick And The Duck.txt,Pete,"Yeah, sure, that’d be great.",21
S03E21 The Chick And The Duck.txt,Pete,"Ah, which ever is closest.",23
S03E21 The Chick And The Duck.txt,Pete,So ask me what I did today.,24
S03E21 The Chick And The Duck.txt,Pete,I bought a restaurant and I would like you to be the head chef.,24
S03E21 The Chick And The Duck.txt,Pete,So? I mean have you thought about it?,39
S03E21 The Chick And The Duck.txt,Pete,"Oh no, not the thing. I hate the thing. What’s the thing?",39
S03E21 The Chick And The Duck.txt,Pete,"Wait, wait, wait, wait, that’s-that’s what you’re worried about? If that’s the problem, we’ve got no problem.",39
S03E21 The Chick And The Duck.txt,Pete,"No! Look, I was gonna tell you this over dinner, but I met somebody else. On my trip.",39
S03E21 The Chick And The Duck.txt,Pete,"Her name’s Ann, she’s a journalist. Ahh, we met on the plane. She asked me if she could finish off my peanuts, I thought she said something else, we had a big laugh. Yeah, I just, I mean I got, I got tired of waiting.",39
S03E21 The Chick And The Duck.txt,Pete,I guess you can.,39
S03E21 The Chick And The Duck.txt,Pete,All right.,40
S03E21 The Chick And The Duck.txt,Pete,"Yeah, sure. Good luck!",41
S03E21 The Chick And The Duck.txt,Pete,What?,43
S03E21 The Chick And The Duck.txt,Pete,Why would you say that?,43
S03E21 The Chick And The Duck.txt,Pete,You’re good. You’re good!,43
S03E21 The Chick And The Duck.txt,Pete,"Listen, can you promise me that you won’t tell her though?",43
S03E21 The Chick And The Duck.txt,Pete,Thanks a lot.,43
S03E21 The Chick And The Duck.txt,Pete,So you like it?,92
S03E21 The Chick And The Duck.txt,Pete,"Nooo. Uh-huh, no way. What? No.",94
S03E21 The Chick And The Duck.txt,Pete,What?,94
S03E21 The Chick And The Duck.txt,Pete,"Now, nooo! I’m just excited about the restaurant, that’s all.",94
S03E21 The Chick And The Duck.txt,Pete,"Okay, I love you. Is that so bad?",94
S03E21 The Chick And The Duck.txt,Pete,"Look, the only who stands to get hurt is me. And I’m okay with that.",94
S03E21 The Chick And The Duck.txt,Pete,What?,94
S03E21 The Chick And The Duck.txt,Pete,"Okay, yeah. I mean... If that’s, if that’s really what you want, okay.",94
S03E21 The Chick And The Duck.txt,Pete,I’m sorry things didn’t work out...,95
S03E19 The Tiny T-Shirt.txt,Pete,"...so y'know, that’s why, within a few years, that voice recognition is gonna be pretty much standard on any computer you buy. Y'know, so you could be like-like, ‘Wash my car.’ ‘Clean my room.’ It’s not gonna be able to do any of those things, but it’ll understand what you’re saying.",8
S03E19 The Tiny T-Shirt.txt,Pete,"Yeah, it was.",8
S03E19 The Tiny T-Shirt.txt,Pete,What like Pete Dakota?,32
S03E19 The Tiny T-Shirt.txt,Pete,"I got to go, so ah, I’ll see you guys later.",32
S03E19 The Tiny T-Shirt.txt,Pete,Where are we?,49
S03E19 The Tiny T-Shirt.txt,Pete,Just tell me the truth.,50
S03E19 The Tiny T-Shirt.txt,Pete,"Oh, yeah. Wasn’t that like a year ago?",50
S03E19 The Tiny T-Shirt.txt,Pete,"Oh, yeah. I know that.",50
S03E19 The Tiny T-Shirt.txt,Pete,"But you’re not. Okay, good.",50
S03E19 The Tiny T-Shirt.txt,Pete,"Y'know what, don’t be. This is not, don’t be, ‘cause it’s not so bad.",50
S03E23 Rosss Thing.txt,Pete,"Hey Monica, how's it going.",45
S03E23 Rosss Thing.txt,Pete,Well don't forget that fiches over there by Rachel.,45
S03E23 Rosss Thing.txt,Pete,"I see him, you guys are just the worst hiders ever.",46
S03E23 Rosss Thing.txt,Pete,"Okay, I love you.",49
S03E23 Rosss Thing.txt,Pete,"So ah, there was this thing I wanted to talk to you about.",86
S03E23 Rosss Thing.txt,Pete,"Well ah, I’ve been doing a lot of thinking, and I look at my life…",86
S03E23 Rosss Thing.txt,Pete,"And I feel like I’ve conquered the business world, and I feel like I’ve conquered the intellectual world, and now I-I have the most beautiful woman in the world.",86
S03E23 Rosss Thing.txt,Pete,There’s one thing missing.,86
S03E23 Rosss Thing.txt,Pete,It’s time for me to conquer the physical world.,86
S03E23 Rosss Thing.txt,Pete,"I want to become the Ultimate Fighting Champion! It’s the most intense physical competition in the world, it’s banned in 49 states!",88
S03E23 Rosss Thing.txt,Pete,"Okay, my trainer, Ho Chi, is teaching me a combination of Gee Koon Doe and Brazilian street fighting, I’ve even had my own octagon training ring designed.",88
S03E23 Rosss Thing.txt,Pete,"Yeah. Monica, I want you there in the front row when I win. I want you close enough to smell the blood. What do you think?",88
S03E22 The Screamer.txt,Pete,"Well ah, the short version is, I ah pursued her for a couple of months, then I gave her a check for 20,000 dollars, and she was mine.",33
S03E18 The Hypnosis Tape.txt,Pete,"Yeah, a slice of cheesecake and-and a date if you’re given’ ‘em out.",24
S03E18 The Hypnosis Tape.txt,Pete,"Hmm, come on, you just said to her that you….",24
S03E18 The Hypnosis Tape.txt,Pete,"Ho-ho, I will.",26
S03E18 The Hypnosis Tape.txt,Pete,"Okay, that’s great, but can we make it smaller? Can we make it fit on the head of a pin? I love when we make things fit on the head of a pin.",48
S03E18 The Hypnosis Tape.txt,Pete,"Well, y’know, I never know how much to tip.",52
S03E18 The Hypnosis Tape.txt,Pete,"Come on, you gotta admit that our relationship is ah, is hitting a new level now. ‘Cause you used to be like the chef, and I was the customer, and now we’re like this-this couple that fights.",53
S03E18 The Hypnosis Tape.txt,Pete,Why not?,54
S03E18 The Hypnosis Tape.txt,Pete,"One meal! That’s all I’m asking for. Please? We go out, we eat, and if you don’t have a good time, I give you ten grand, we call it even.",54
S03E18 The Hypnosis Tape.txt,Pete,Hi.,60
S03E18 The Hypnosis Tape.txt,Pete,"Hey, you like pizza?",63
S03E18 The Hypnosis Tape.txt,Pete,I know a great little place.,63
S03E18 The Hypnosis Tape.txt,Pete,"You’re, hey, you’re not paying for the pizza!",65
S03E18 The Hypnosis Tape.txt,Pete,"Ahh, I’d throw another thousand on that.",65
S03E18 The Hypnosis Tape.txt,Pete,That’s about 60 cents.,65
S03E24 The Ultimate Fighting Champion.txt,Pete,"I told you, we’re adding new operators all the time. Could we concentrate on my training?",42
S03E24 The Ultimate Fighting Champion.txt,Pete,I promise.,46
S03E24 The Ultimate Fighting Champion.txt,Pete,Yeah.,46
S03E24 The Ultimate Fighting Champion.txt,Pete,"Don’t worry, Hoshi taught me how to use an opponent’s strength and weight against him.",65
S03E24 The Ultimate Fighting Champion.txt,Pete,Uh-oh.,68
S03E24 The Ultimate Fighting Champion.txt,Pete,"It would be nice after hearing 20,000 people chant “You suck!”",71
S03E24 The Ultimate Fighting Champion.txt,Pete,"What, look back?",71
S03E24 The Ultimate Fighting Champion.txt,Pete,Well let me ask you a question. Am I the Ultimate Fighting Champion?,71
S03E24 The Ultimate Fighting Champion.txt,Pete,Well I’m not gonna stop until I’m the Ultimate Fighting Champion.,71
