filename,character,dialogue,scene
S02E08 The List.txt,Phoe,"Ok, all right. We want to hear everything. Monica, get the wine and unplug the phone. Rachel, does this end well or do we need to get tissues?",2
S02E08 The List.txt,Phoe,Oh.,2
S02E08 The List.txt,Phoe,"Ok, all right, let's hear about the kiss. Was it like, was it like a soft brush against your lips? Or was it like a, you know, a ""I gotta have you now"" kind of thing?",3
S02E08 The List.txt,Phoe,"Ok, so, ok, was he holding you? Or was his hand like on your back?",3
S02E08 The List.txt,Phoe,Wow. What are you gonna use it for?,5
S02E08 The List.txt,Phoe,"Hey, oh, so, um...how'd you make out last night?",10
S02E08 The List.txt,Phoe,"Oh, well, actually.",15
S02E08 The List.txt,Phoe,"Ok, all right.",16
S02E08 The List.txt,Phoe,"Ok, um, hi, hello, hi, ok, so, um, this is a song about a love triangle between three people that I made up. Um, it's called, um, ""Two of Them Kissed Last Night"".",17
S02E08 The List.txt,Phoe,"It's not, it's not very Thanksgiving-y.",27
S02E08 The List.txt,Phoe,What makes it pilgrim?,27
S02E08 The List.txt,Phoe,Hey.,28
S02E08 The List.txt,Phoe,"No offense, but that sounds nothing like her.",28
S02E08 The List.txt,Phoe,"Oh, oh sweet Lord! This is what evil must taste like!",35
S02E08 The List.txt,Phoe,I... I cannot believe Ross even made this list. What a dinkus.,61
S02E08 The List.txt,Phoe,What?,61
S02E08 The List.txt,Phoe,What were you thinking?,61
S02E08 The List.txt,Phoe,"Yeah, by the way, good luck in your next life as a dung beetle.",62
S02E07 Ross Finds Out.txt,Phoe,"No, you are not, you are very attractive. You know what, I go through the exact same thing. Every time I put on a little weight, I start questioning everyting.",2
S02E07 Ross Finds Out.txt,Phoe,"No, not wieght... y'know, more like insulation.",2
S02E07 Ross Finds Out.txt,Phoe,"Oh, um, it was nice. Took him to a romantic restraunt, ordered champagne, nice.",12
S02E07 Ross Finds Out.txt,Phoe,"Nope. Zilch, nothin', uh-uh.",12
