filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Phoebe,Oh Willie’s still alive!,2
S07E05 The Engagement Picture.txt,Phoebe,Oh my God! That’s the creep that you’re with at the Statue of Liberty.,3
S07E05 The Engagement Picture.txt,Phoebe,"Hey, why don’t you guys go, get portraits done by a professional photographer.",4
S07E05 The Engagement Picture.txt,Phoebe,"Yeah that’s great! Next to that, Chandler won’t look so stupid.",5
S07E05 The Engagement Picture.txt,Phoebe,He is! But he’s getting divorced—Ross! Maybe you know him.,11
S07E05 The Engagement Picture.txt,Phoebe,You don’t have to be back for a half-hour!,11
S07E05 The Engagement Picture.txt,Phoebe,So you wouldn’t mind if he was dating someone else?,11
S07E05 The Engagement Picture.txt,Phoebe,I’m having a really good time!,35
S07E05 The Engagement Picture.txt,Phoebe,"Ohh. No that’s okay, he’s a friend.",35
S07E05 The Engagement Picture.txt,Phoebe,"Yeah, I… Well y’know I-I mean I missed the-the semi-finals, so I’d just be lost.",35
S07E05 The Engagement Picture.txt,Phoebe,"Okay, don’t freak out. I’ll go.",35
S07E05 The Engagement Picture.txt,Phoebe,Hi Ginger.,40
S07E05 The Engagement Picture.txt,Phoebe,I don’t have it!,40
S07E05 The Engagement Picture.txt,Phoebe,"All right, well I just wanted to say thank you though for diverting Kyle’s ex.",42
S07E05 The Engagement Picture.txt,Phoebe,Okay.,42
S07E05 The Engagement Picture.txt,Phoebe,Watching ballroom dancing?,47
S07E05 The Engagement Picture.txt,Phoebe,"Well look-look, okay Ross, Kyle just told me some really bad stuff about her.",47
S07E05 The Engagement Picture.txt,Phoebe,"Like she’s really mean, and she’s over critical, and-and—No! She will paint a room a really bright color without even checking with you!",47
S07E05 The Engagement Picture.txt,Phoebe,And! She uses sex as a weapon!,47
S07E05 The Engagement Picture.txt,Phoebe,You’re still gonna go out with her?!,47
S07E05 The Engagement Picture.txt,Phoebe,"Well, didn’t you just hear what I said?!",47
S07E05 The Engagement Picture.txt,Phoebe,You see? Nothing is good enough for her!,49
S07E05 The Engagement Picture.txt,Phoebe,Hi.,71
S07E05 The Engagement Picture.txt,Phoebe,"So, how are things going with crazy? Has she cooked your rabbit yet?",71
S07E05 The Engagement Picture.txt,Phoebe,"Yeah well, maybe she should’ve spent a little less time decorating and a little more time in the bedroom.",71
S07E05 The Engagement Picture.txt,Phoebe,You think he’s emotionally unavailable?,71
S07E05 The Engagement Picture.txt,Phoebe,"Well, maybe he wouldn’t be she didn’t bring the office home every night!",71
S07E05 The Engagement Picture.txt,Phoebe,"Yeah well, she certainly knew what she was doing New Year’s Eve 1997.",71
S07E05 The Engagement Picture.txt,Phoebe,"Oh, I’m sorry. Is that annoying? And speaking about being selfish in bed, how’s Whitney?",78
S07E05 The Engagement Picture.txt,Phoebe,Both of you together?,80
S07E05 The Engagement Picture.txt,Phoebe,What about her whining and her constant need for attention?!,81
S07E05 The Engagement Picture.txt,Phoebe,"Oh right, because you’re so capable of change.",81
S07E05 The Engagement Picture.txt,Phoebe,"Yeah, and y’know what? I don’t give a tiny rat’s ass.",83
S07E05 The Engagement Picture.txt,Phoebe,"Oh. Y’know, he hums while he does other stuff to.",85
S07E05 The Engagement Picture.txt,Phoebe,"And y’know, even if they break up again, you’d better not let him in your sad men’s club!",85
S07E05 The Engagement Picture.txt,Phoebe,"Ooh, let’s see it!",87
S01E18 All The Poker.txt,Phoebe,Wow!,9
S01E18 All The Poker.txt,Phoebe,What?,17
S01E18 All The Poker.txt,Phoebe,"Yeah, what is that? Like, some kind of guy thing? Like, some kind of sexist guy thing? Like it's poker, so only guys can play?",18
S01E18 All The Poker.txt,Phoebe,"Oh, OK, so then what is it? Some kind of... you know, like, like... some kind of, y'know, like... alright, what is it?",18
S01E18 All The Poker.txt,Phoebe,Congratulations!,20
S01E18 All The Poker.txt,Phoebe,"OK, I just need two... the, um, ten of spades and the six of clubs.",21
S01E18 All The Poker.txt,Phoebe,"But... I'm ready, so, just deal.",26
S01E18 All The Poker.txt,Phoebe,About how good your cards were.,30
