filename,character,dialogue,scene
S10E01 Joey and Rachel Kiss.txt,Precious,"Hi, I'm Precious, who are you?",75
S10E01 Joey and Rachel Kiss.txt,Precious,"Phoebe? Mike's ex-girlfriend Phoebe, the love of his life? That Phoebe?",76
S10E01 Joey and Rachel Kiss.txt,Precious,"I'm not letting you leave until you tell me what's going on here. I mean, are you guys getting back together or something?",88
S10E01 Joey and Rachel Kiss.txt,Precious,My name is Precious.,88
S10E01 Joey and Rachel Kiss.txt,Precious,I just can't believe this... Why?,88
S10E01 Joey and Rachel Kiss.txt,Precious,"Oh, why would he do this? I mean, what's wrong with me?",88
S10E01 Joey and Rachel Kiss.txt,Precious,"I mean, what the hell am I supposed to do now?",88
S10E01 Joey and Rachel Kiss.txt,Precious,I just can't believe that Mike didn't give me any warning.,89
S10E01 Joey and Rachel Kiss.txt,Precious,"Oh, my God, maybe you're right. Maybe I don't need him. I deserve to be treated with respect.",90
S10E01 Joey and Rachel Kiss.txt,Precious,"Screw you, Mike. You're a coward and a bastard, and I hope you rot in hell.",91
