filename,character,dialogue,scene
S02E08 The List.txt,Rach,Ross kissed me.,2
S02E08 The List.txt,Rach,It was unbelievable!,2
S02E08 The List.txt,Rach,"Oh, it ended very well.",2
S02E08 The List.txt,Rach,"Well, at first it was really intense, you know. And then, oh, god, and then we just sort of sunk into it.",3
S02E08 The List.txt,Rach,"No, actually first they started on my waist. And then, they slid up, and then, they were in my hair.",3
S02E08 The List.txt,Rach,Good. How are you?,12
S02E08 The List.txt,Rach,Hey.,28
S02E08 The List.txt,Rach,"Did uh, Ross call?",28
S02E08 The List.txt,Rach,"Why didn't he call? He's gonna stay with Julie, isn't he? He's gonna stay with her and she's going to be all, ""Hi, I'm Julie, Ross picked me, and we're gonna to get married, have a lot of kids and dig up stuff together.""",28
S02E08 The List.txt,Rach,Oh my god.,34
S02E08 The List.txt,Rach,"Oh my god, I can't believe you let me put this in my mouth.",34
S02E08 The List.txt,Rach,"Well, what's the other thing, what do I think?",43
S02E08 The List.txt,Rach,Really?,44
S02E08 The List.txt,Rach,"Oh, god.",45
S02E08 The List.txt,Rach,"Oh, oh, this is good, this is really good.",45
S02E08 The List.txt,Rach,Let me get my coat.,46
S02E08 The List.txt,Rach,What's that? What? I saw my name. What is it?,50
S02E08 The List.txt,Rach,Well what is it? Let me see.,52
S02E08 The List.txt,Rach,"Ross, Chandler wrote something about me on his computer and he won't let me see.",53
S02E08 The List.txt,Rach,And I'm in it? Then let me read it.,54
S02E08 The List.txt,Rach,Come on.,54
S02E08 The List.txt,Rach,"All right, you know what? This isn't funny anymore. There's something about me on that piece of paper and I want to see it.",56
S02E08 The List.txt,Rach,"What is this? Ross, what is this?",57
S02E08 The List.txt,Rach,Kind of ditzy? Too into her looks? Spoiled?,58
S02E08 The List.txt,Rach,Just a waitress?,58
S02E08 The List.txt,Rach,Oh! I do not have chubby ankles!,58
S02E08 The List.txt,Rach,She is not Rachem. What the hell's a Rachem? Is that some stupid paleontology word that I wouldn't know because I'm just a waitress.,59
S02E08 The List.txt,Rach,Not interested.,64
S02E08 The List.txt,Rach,No.,71
S02E08 The List.txt,Rach,That's what I said.,71
S02E08 The List.txt,Rach,"No, you guys, you really don't have to go, we're done talking.",71
S02E08 The List.txt,Rach,"Well, then, I guess that's the difference between us. See, I'd never make a list.",73
S02E07 Ross Finds Out.txt,Rach,"So, how was the party?",2
S02E07 Ross Finds Out.txt,Rach,"Hey Phoebs, how'd it go with Scott last night?",12
S02E07 Ross Finds Out.txt,Rach,"Yeah, but how much can you tell from a look?",12
S02E07 Ross Finds Out.txt,Rach,"Yeah, Monica's settin' me up.",16
S02E07 Ross Finds Out.txt,Rach,"Oh what, my whole insane jealousy thing? Well, y'know, as much fun as that was, I've decided to opt for sanity.",16
S02E07 Ross Finds Out.txt,Rach,"Oh yeah, c'mon, I'm movin' on. He can press her up against that window as much as he wants. For all I care, he can throw her through the damn thing.",16
S02E07 Ross Finds Out.txt,Rach,Together?,19
S02E07 Ross Finds Out.txt,Rach,Both of you?,19
S02E07 Ross Finds Out.txt,Rach,Together.,19
S02E07 Ross Finds Out.txt,Rach,"Ohh, well, isn't that just lovely. That's something the two of you will be able to enjoy for a really, really, really, really, really long time.",19
S02E07 Ross Finds Out.txt,Rach,"Cats, how long do they live figuring you don't... y'know, throw 'em under a bus or something?",23
S02E07 Ross Finds Out.txt,Rach,"Oh, no, Michael, it's not you. I'm sorry, it's just, it's this thing. It's probably not as bad as it sounds but this friend of mine is, is getting a cat with his girlfriend.",25
S02E07 Ross Finds Out.txt,Rach,I mean he just started going out with her.,25
S02E07 Ross Finds Out.txt,Rach,"Ah, hah-hah-hah-ho, yeah, he wishes. Oh, I'm sorry, look at me. OK, Michael, let's talk about you.",25
S02E07 Ross Finds Out.txt,Rach,"OK, OK. So, you ever get a pet with a girlfriend?",25
S02E07 Ross Finds Out.txt,Rach,Yes! Thank you.,30
S02E07 Ross Finds Out.txt,Rach,"Oh, you're not having fun, are you?",31
S02E07 Ross Finds Out.txt,Rach,"Oh, look at me, look at me. Oh, I'm on a date with a really great guy, all I can think about is Ross and his cat and his... Julie. I just want to get over him. gosh, why can't I do that?",31
S02E07 Ross Finds Out.txt,Rach,"Yeah! Closure. That's what it is, that's what I need. God, you're brilliant! Why didn't I think of that? How do I get that?",31
S02E07 Ross Finds Out.txt,Rach,"Hello, excuse me.",32
S02E07 Ross Finds Out.txt,Rach,"Hi, I'm sorry, I need to borrow your phone for just one minute.",32
S02E07 Ross Finds Out.txt,Rach,Ahhhh.,40
S02E07 Ross Finds Out.txt,Rach,"Umm, I think there was a restaurant... I know there was wine. . .",40
S02E07 Ross Finds Out.txt,Rach,"I don't know, I, I feel like I had a dream about you last night but I, I don't remember.",41
S02E07 Ross Finds Out.txt,Rach,Did we speak on the phone last night? Did you call me?,42
S02E07 Ross Finds Out.txt,Rach,Huh.,42
S02E07 Ross Finds Out.txt,Rach,"Ohh, ohh.",47
S02E07 Ross Finds Out.txt,Rach,"Ohh, OK, OK, OK, well, basically, lately, I've uh, I've uh, sort of had feelings for you.",47
S02E07 Ross Finds Out.txt,Rach,"Yeah, what, so? You had feelings for me first.",47
S02E07 Ross Finds Out.txt,Rach,Chandler told me.,47
S02E07 Ross Finds Out.txt,Rach,When you were in China.,47
S02E07 Ross Finds Out.txt,Rach,Meeting Julie.,47
S02E07 Ross Finds Out.txt,Rach,Are you over me?,47
S02E07 Ross Finds Out.txt,Rach,"Wait, so, you're going?",51
S02E07 Ross Finds Out.txt,Rach,"OK, OK.",51
S02E07 Ross Finds Out.txt,Rach,Hi.,55
S02E07 Ross Finds Out.txt,Rach,"Oh, that's um, interesting.",55
S02E07 Ross Finds Out.txt,Rach,"Alright, I got it Ross.",55
S02E07 Ross Finds Out.txt,Rach,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",56
S02E07 Ross Finds Out.txt,Rach,I didn't know then. And how come you never said anything to me.,56
S02E07 Ross Finds Out.txt,Rach,"Right, you, you only had a year. We only hung out every night.",56
S02E07 Ross Finds Out.txt,Rach,"Hey, there was one Italian guy, OK, and do you even have a point?",56
S02E07 Ross Finds Out.txt,Rach,"Yeah, what're you saying, you just sort of put away feelings or whatever the hell it was you felt for me?",56
S02E07 Ross Finds Out.txt,Rach,"Alright, fine, you go ahead and you do that, alright Ross.",56
S02E07 Ross Finds Out.txt,Rach,'Cause I don't need your stupid ship.,56
S02E07 Ross Finds Out.txt,Rach,"And ya know what, now I've got closure.",58
S02E10 Russ.txt,Rach,"Joey, would you slow down? They're not gonna be sold out of papers at one o'clock in the morning.",2
S02E10 Russ.txt,Rach,"Joey, honey, they don't know what they're talking about.",4
S02E10 Russ.txt,Rach,I had one glass.,15
S02E10 Russ.txt,Rach,"OK, so that's... that's what, two bottles? And yet somehow we went through five?",15
S02E10 Russ.txt,Rach,"Ehhhummmm, I don't know, why don't you taste it.",18
S02E10 Russ.txt,Rach,"Oh well, too late, sorry, you already had some.",19
S02E10 Russ.txt,Rach,"Ummmm.... well, actually I'm already done, but I...I kinda got plans.",26
S02E10 Russ.txt,Rach,"Yeah... I, uhh... I have a... I have a date.",27
S02E10 Russ.txt,Rach,What? What is so strange about me having a date?,27
S02E10 Russ.txt,Rach,"Noooo, no, I'm not mad at him. I'm.. I'm not really anything at him anymore.",27
S02E10 Russ.txt,Rach,"I don't know. Whatever I was feeling, I'm... not.",27
S02E10 Russ.txt,Rach,"Oh, I know, I'm sorry you guys. You're just gonna have to get used to the fact that I will not be dating Ross.",27
S02E10 Russ.txt,Rach,"Here he is. Hi. Guys, this is Russ.",28
S02E10 Russ.txt,Rach,What's the matter?,36
S02E10 Russ.txt,Rach,"What, isn't he sober?",36
S02E10 Russ.txt,Rach,"Ohhh, OK.",36
S02E10 Russ.txt,Rach,Maybe it was just the kind of story where you have to be there.,39
S02E10 Russ.txt,Rach,"Hi Russ, I've just got two more tables to clean and then we'll go, OK?",41
S02E10 Russ.txt,Rach,Hi.,42
S02E10 Russ.txt,Rach,Uhh.... waitressing?,42
S02E10 Russ.txt,Rach,Oh.,47
S02E10 Russ.txt,Rach,"Well, we're not seeing each other, so....",47
S02E10 Russ.txt,Rach,"Well, yeah, this is the deal.",47
S02E10 Russ.txt,Rach,"Um, Russ, you ready?",47
S02E10 Russ.txt,Rach,Bye.,47
S02E10 Russ.txt,Rach,What?,60
S02E10 Russ.txt,Rach,"No, Phoebs. I'm dating Russ.",60
S02E10 Russ.txt,Rach,Steve... sleeve!,60
S02E10 Russ.txt,Rach,"Phoebe, what the hell are you talking about? Other than their names being similar, I'm sorry, I do not see what you're seeing.",60
S02E10 Russ.txt,Rach,Did Joey say what he was gonna go when he left?,65
S02E10 Russ.txt,Rach,I don't know. Who would I have to sleep with?,65
S02E10 Russ.txt,Rach,Why would I have to sleep with you?,65
S02E10 Russ.txt,Rach,"Oh God, even his knock is boring.",68
S02E10 Russ.txt,Rach,What happened?,73
