filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Rachel,"Hey look-look, Phoebe’s talking to uh, Cute Coffeehouse Guy.",10
S07E05 The Engagement Picture.txt,Rachel,"Hey, I thought that guy was married.",11
S07E05 The Engagement Picture.txt,Rachel,"Phoebe, if this guy’s going through a divorce, is it such a good idea to start going out with him?",11
S07E05 The Engagement Picture.txt,Rachel,"Oh, I gotta get back to work.",11
S07E05 The Engagement Picture.txt,Rachel,"Yeah but, my assistant Tag does sit-ups in the office during lunch. Ohh! I could just spread him on a cracker.",11
S07E05 The Engagement Picture.txt,Rachel,"Oh no, I know that. I know that. Although, we made a joke that we spend so much time together he should call me his work wife.",11
S07E05 The Engagement Picture.txt,Rachel,"I am not gonna get fired, because I’m not gonna act on it.",11
S07E05 The Engagement Picture.txt,Rachel,Why? Is he? He is! Isn’t he? He’s dating that slut in marketing!,11
S07E05 The Engagement Picture.txt,Rachel,"Oh, no sit-ups today Tag?",12
S07E05 The Engagement Picture.txt,Rachel,"Oh, well drop and give me ten more!",12
S07E05 The Engagement Picture.txt,Rachel,"Uh, I-I had a drink with lunch. Did those cost reports come in?",12
S07E05 The Engagement Picture.txt,Rachel,"Oh, great could you make me four copies of those?",12
S07E05 The Engagement Picture.txt,Rachel,No. Why?,14
S07E05 The Engagement Picture.txt,Rachel,Really?! Got a little crush on Tag there do ya?,14
S07E05 The Engagement Picture.txt,Rachel,"Okay, whoa-whoa easy there Melissa! This ain’t a locker room, okay? But, y’know I remember him saying that-that he had plans tonight.",14
S07E05 The Engagement Picture.txt,Rachel,"Oh yeah. All right, back to work.",14
S07E05 The Engagement Picture.txt,Rachel,"Yeah Melissa, I don’t want to be known as the uh, office bitch, but I will call your supervisor.",14
S07E05 The Engagement Picture.txt,Rachel,Hi Joey! What are you doing here?,22
S07E05 The Engagement Picture.txt,Rachel,"Yeah, I don’t think so Joe.",25
S07E05 The Engagement Picture.txt,Rachel,"Hey, listen umm, what-what are you doing tonight?",25
S07E05 The Engagement Picture.txt,Rachel,How would you feel about taking out my assistant Tag? I’ll pay.,25
S07E05 The Engagement Picture.txt,Rachel,I’m not asking you to go on a date with him!,25
S07E05 The Engagement Picture.txt,Rachel,"Joey, just-just he-he’s new in town and I know he doesn’t have any guy friends. Just take him to like a ball game or something. I’ll really appreciate it.",25
S07E05 The Engagement Picture.txt,Rachel,Yeah?,25
S07E05 The Engagement Picture.txt,Rachel,Yeah!,26
S07E05 The Engagement Picture.txt,Rachel,"Hi Tag! Hey, so did you have fun with uh, with Joey last night?",50
S07E05 The Engagement Picture.txt,Rachel,Ohh that’s nice.,50
S07E05 The Engagement Picture.txt,Rachel,Wo-women? You mean like old women?,50
S07E05 The Engagement Picture.txt,Rachel,"That’s great! Wow man, so Joey must’ve really taught you some stuff huh?",51
S07E05 The Engagement Picture.txt,Rachel,Yeah?,51
S07E05 The Engagement Picture.txt,Rachel,"So uh, heard you had some fun with Tag last night.",58
S07E05 The Engagement Picture.txt,Rachel,Yeah and you had fun teaching him how to be all Joey.,58
S07E05 The Engagement Picture.txt,Rachel,"Y’know, all the women.",58
S07E05 The Engagement Picture.txt,Rachel,"All right, would-would you mind just not going out with him again? Okay, just the idea of you and he and all these women, it’s just—And I know he’s my assistant and I can’t date him—but it just bothers me, all right?!",59
S07E05 The Engagement Picture.txt,Rachel,"All right, will you, will you at least tell him how hollow and unsatisfying this, dating tons of women thing is!",59
