filename,character,dialogue,scene
S09E03 The Pediatrician.txt,Receptionist,"Dr. Gettleman is finishing up with a patient, he should be out shortly.",46
S09E03 The Pediatrician.txt,Receptionist,The doctor will be right with you sir.,72
S09E19 Rachels Dream.txt,Receptionist,"Welcome to the Chestnut Inn Mr. Bing, so where are you joining from?",32
S09E19 Rachels Dream.txt,Receptionist,"I am sorry Mr. Bing, there's no record of your reservation in the computer.",33
S09E19 Rachels Dream.txt,Receptionist,"I'm sorry, it's not here.",34
S09E19 Rachels Dream.txt,Receptionist,I don't know what to say.,34
S09E19 Rachels Dream.txt,Receptionist,"Unfortunatly the only thing we have available is our deluxe suite, the rate is six hundred dollars.",35
S09E19 Rachels Dream.txt,Receptionist,Great.,36
S09E19 Rachels Dream.txt,Receptionist,"Here's your copy of the bill, we hope you enjoyed your stay.",60
S09E15 The Mugging.txt,Receptionist,"This is Joey Tribbiani. Joey, these are the producers and, as you probably already know, this is Lennart Haze.",34
S09E15 The Mugging.txt,Receptionist,You're late!,95
S09E15 The Mugging.txt,Receptionist,"No, Lennart doesn't wait!",96
S09E21 The Fertility Test.txt,Receptionist,This has been torn up.,32
S09E21 The Fertility Test.txt,Receptionist,"Ok well, I'll call you as soon as your massage therapist is ready.",32
S09E21 The Fertility Test.txt,Receptionist,Have a seat through the glass doors.,32
S09E21 The Fertility Test.txt,Receptionist,Through the glass doors.,33
S09E21 The Fertility Test.txt,Receptionist,"Phoebe, your next client's in the waiting room.",34
S09E21 The Fertility Test.txt,Receptionist,"Sorry, everyone is booked!",35
S09E21 The Fertility Test.txt,Receptionist,Then why you work here?,35
S09E21 The Fertility Test.txt,Receptionist,"Well, I think this is a great place to work!",35
S09E21 The Fertility Test.txt,Receptionist,Good morning Phoebe.,106
S09E21 The Fertility Test.txt,Receptionist,Here's your schedule for the day. Your first client is in room No. 1.,107
S01E04 George Stephanopoulos.txt,Receptionist,"Well, you'll have to wait your turn.",53
S01E04 George Stephanopoulos.txt,Receptionist,Hey! Hey! No rough holding in my ER!,85
S06E17 Unagi.txt,Receptionist,"We’re actually at the end of one of our research cycles, so we’re not looking for applicants right now.",35
S06E17 Unagi.txt,Receptionist,"Oh that one is available now, but only identical twins are eligible. It’s a twins study.",38
S06E17 Unagi.txt,Receptionist,Sorry.,38
