filename,character,dialogue,scene
S03E13 Monica And Richard Are Just Friends.txt,Richard,Hi!,7
S03E13 Monica And Richard Are Just Friends.txt,Richard,"So, you look great.",8
S03E13 Monica And Richard Are Just Friends.txt,Richard,No you do. You... just...,8
S03E13 Monica And Richard Are Just Friends.txt,Richard,You’ve got panties stuck to your leg.,8
S03E13 Monica And Richard Are Just Friends.txt,Richard,It’s good to see you.,9
S03E13 Monica And Richard Are Just Friends.txt,Richard,I missed this.,12
S03E13 Monica And Richard Are Just Friends.txt,Richard,"So, you wanna get a hamburger or something?",12
S03E13 Monica And Richard Are Just Friends.txt,Richard,"Oh. Look, just friends, I won’t grope you. I promise.",12
S03E13 Monica And Richard Are Just Friends.txt,Richard,"No it’s not too soon, I had lunch at a eleven.",12
S03E13 Monica And Richard Are Just Friends.txt,Richard,"So when people complement me on my cooking should I, what do I say?",33
S03E13 Monica And Richard Are Just Friends.txt,Richard,"Ew, this feels very weird.",34
S03E13 Monica And Richard Are Just Friends.txt,Richard,Okay.,35
S03E13 Monica And Richard Are Just Friends.txt,Richard,Tomatoes are squishing.,35
S03E13 Monica And Richard Are Just Friends.txt,Richard,Op.,36
S03E13 Monica And Richard Are Just Friends.txt,Richard,Yeah.,36
S03E13 Monica And Richard Are Just Friends.txt,Richard,What?,38
S03E13 Monica And Richard Are Just Friends.txt,Richard,I’ll just throw them out.,38
S03E13 Monica And Richard Are Just Friends.txt,Richard,You really sure?,52
S03E13 Monica And Richard Are Just Friends.txt,Richard,"Absolutely, this will just be something we do, like racquetball.",54
S03E13 Monica And Richard Are Just Friends.txt,Richard,You want me to cancel it?,55
S03E13 Monica And Richard Are Just Friends.txt,Richard,Okay.,56
S03E13 Monica And Richard Are Just Friends.txt,Richard,Hello.,71
S03E13 Monica And Richard Are Just Friends.txt,Richard,"Ah well, this is the living room.",82
S03E13 Monica And Richard Are Just Friends.txt,Richard,All right. This is the kitchen.,82
S03E13 Monica And Richard Are Just Friends.txt,Richard,Um-hmm.,83
S03E13 Monica And Richard Are Just Friends.txt,Richard,"Well, you seem fine.",88
S03E13 Monica And Richard Are Just Friends.txt,Richard,You mean like exclusive friends?,89
S03E13 Monica And Richard Are Just Friends.txt,Richard,"Wow. Y'know we’re back where we were. Honey, I would love to do all that, but nothing’s changed.",89
S03E13 Monica And Richard Are Just Friends.txt,Richard,"Okay, okay, one thing’s changed. But we still want different things and we know how this is gonna end.",89
S03E13 Monica And Richard Are Just Friends.txt,Richard,I know I couldn’t. So....,89
S06E24 The Proposal Part I  II.txt,Richard,"You too, you let uh, your hair grow long.",64
S06E24 The Proposal Part I  II.txt,Richard,"Well, my nose got lonely.",64
S06E24 The Proposal Part I  II.txt,Richard,Oh. Good to see you guys.,70
S06E24 The Proposal Part I  II.txt,Richard,And-and then I sneak out and before Monica can her parents come in.,85
S06E24 The Proposal Part I  II.txt,Richard,Hi!,130
S06E24 The Proposal Part I  II.txt,Richard,"Actually, I’m not here to complement the chef.",130
S06E24 The Proposal Part I  II.txt,Richard,"Well, it was great seeing you the other night.",130
S06E24 The Proposal Part I  II.txt,Richard,"I still love you. And I know I probably shouldn’t even be here telling you this, I mean you’re with Chandler a guy I really like, and if you say he’s straight I’ll believe you! After seeing ya the other night I knew if I didn’t tell ya I’d regret it for the rest of my life. Letting you go was the stupidest thing I ever did.",132
S06E24 The Proposal Part I  II.txt,Richard,"Well yeah, I’m sorry. I know this is the wrong time and the wrong place but I had to tell ya! I wanna spend my life with you. I wanna marry you. I wanna have kids with you.",132
S06E24 The Proposal Part I  II.txt,Richard,I know this is crazy but am I too late?,133
S06E24 The Proposal Part I  II.txt,Richard,"Well I know I was an idiot! And I tried to forget you, I really did! Y’know after we had lunch last year I spent six months in Africa trying to get you out of my head!",133
S06E24 The Proposal Part I  II.txt,Richard,Working with blind kids.,133
S06E24 The Proposal Part I  II.txt,Richard,"Okay that’s fine, I’ll walk away. And I’ll never bother you again, but only if you tell me Chandler’s willing to give you everything I am.",133
S06E24 The Proposal Part I  II.txt,Richard,You are?,133
S06E24 The Proposal Part I  II.txt,Richard,Why?,133
S06E24 The Proposal Part I  II.txt,Richard,Hi.,153
S06E24 The Proposal Part I  II.txt,Richard,I didn’t ask. You wanna come in?,153
S06E24 The Proposal Part I  II.txt,Richard,"Uh, no! No! That’s…art! If it bothers you I can put my art out.",158
S06E24 The Proposal Part I  II.txt,Richard,"So Monica let me ask you a question. Y’know, since we broke up do you ever, think about me?",158
S06E24 The Proposal Part I  II.txt,Richard,Oh really?,158
S06E24 The Proposal Part I  II.txt,Richard,Who is it?,158
S06E24 The Proposal Part I  II.txt,Richard,Ahh.,159
S06E24 The Proposal Part I  II.txt,Richard,Excuse me?,176
S06E24 The Proposal Part I  II.txt,Richard,"Yeah! You’re saying, you need to be with someone more mature. Maybe someone with, a license to practice medicine. Or a mustache.",178
S06E24 The Proposal Part I  II.txt,Richard,I think that’s fair.,178
S06E24 The Proposal Part I  II.txt,Richard,Chandler.,183
S06E24 The Proposal Part I  II.txt,Richard,She’s not here and please come in.,184
S06E24 The Proposal Part I  II.txt,Richard,"Okay, she was here, but she left.",185
S06E24 The Proposal Part I  II.txt,Richard,Well she said she had to think things over.,185
S06E24 The Proposal Part I  II.txt,Richard,"Oh, hey look nothing happened.",185
S06E24 The Proposal Part I  II.txt,Richard,"Well all right, one thing happened?",185
S06E24 The Proposal Part I  II.txt,Richard,Well I’m sorry.,185
S06E24 The Proposal Part I  II.txt,Richard,"Well, apparently I’m willing to offer her things that you are not.",185
S06E24 The Proposal Part I  II.txt,Richard,"Well if it helps, it worked very well.",185
S02E16 Joey Moves Out.txt,Richard,Happy birthday.,10
S02E16 Joey Moves Out.txt,Richard,I am not telling you guys anything.,16
S02E16 Joey Moves Out.txt,Richard,"Jack, would you let it go?",16
S02E16 Joey Moves Out.txt,Richard,"Guys. Seriously, it is not like that.",16
S02E16 Joey Moves Out.txt,Richard,How ya doin'?,19
S02E16 Joey Moves Out.txt,Richard,Really? I'm a hero.,19
S02E16 Joey Moves Out.txt,Richard,"Yeah, I know. I hate it too. Look, maybe we should just tell them.",19
S02E16 Joey Moves Out.txt,Richard,My parents are dead.,19
S02E16 Joey Moves Out.txt,Richard,"I know, I know. Just hang in there, OK. OK, I'll go out first, alright.",19
S02E16 Joey Moves Out.txt,Richard,What?,25
S02E16 Joey Moves Out.txt,Richard,"Humm, really?",25
S02E16 Joey Moves Out.txt,Richard,"Uhh, not that I know of.",26
S02E16 Joey Moves Out.txt,Richard,That - that's an idea.,26
S02E16 Joey Moves Out.txt,Richard,Oh?,26
S02E16 Joey Moves Out.txt,Richard,It is Judy.,27
S02E16 Joey Moves Out.txt,Richard,She's not a twinkie.,29
S02E16 Joey Moves Out.txt,Richard,Really?,29
S02E16 Joey Moves Out.txt,Richard,"No, it's been a long time since your dad and I went running.",36
S02E16 Joey Moves Out.txt,Richard,Very tasteful.,38
S02E16 Joey Moves Out.txt,Richard,What're we looking at? That blue freckle?,39
S02E18 Dr. Ramoray Dies.txt,Richard,"Phoebe's got another job, right?",10
S02E18 Dr. Ramoray Dies.txt,Richard,"Um, we should go too, I got patients at 8 in the moring.",10
S02E18 Dr. Ramoray Dies.txt,Richard,"I don't know, I don't have my jammies.",10
S02E18 Dr. Ramoray Dies.txt,Richard,"Oh, thank you Phoebs. That's very sweet.",10
S02E18 Dr. Ramoray Dies.txt,Richard,"Hear that? She likes me best, and apparently there've been a lot.",10
S02E18 Dr. Ramoray Dies.txt,Richard,Night Richard. Good luck Mon.,17
S02E18 Dr. Ramoray Dies.txt,Richard,Two.,17
S02E18 Dr. Ramoray Dies.txt,Richard,"Well, I mean what can I say? I, I was married to Barbara for 30 years. She was my high school sweetheart, now you, that's two.",17
S02E18 Dr. Ramoray Dies.txt,Richard,"Woah, woah, no wait a minute now. C'mon it's your turn. Oh c'mon. Ya know, I don't need the actual number, just a ballpark.",18
S02E18 Dr. Ramoray Dies.txt,Richard,That's it? That's the giant number you were afraid to tell me?,22
S02E18 Dr. Ramoray Dies.txt,Richard,"Well, that's not bad at all. I mean, you had me thinkin it was like a fleet.",22
S02E18 Dr. Ramoray Dies.txt,Richard,"Oh honey, I'm fine.",22
S02E18 Dr. Ramoray Dies.txt,Richard,"What? Alright, what about my two?",22
S02E18 Dr. Ramoray Dies.txt,Richard,"Right, and...",22
S02E18 Dr. Ramoray Dies.txt,Richard,"Honey, you are not an oat. I, I mean I don't know, I, I guess I'm just not an oat guy. I've only slept with women I've been in love with.",22
S02E18 Dr. Ramoray Dies.txt,Richard,Right.,22
S02E18 Dr. Ramoray Dies.txt,Richard,Monica.,27
S02E18 Dr. Ramoray Dies.txt,Richard,Hey. They're just trying to decide somehting.,29
S02E18 Dr. Ramoray Dies.txt,Richard,No.,29
S02E18 Dr. Ramoray Dies.txt,Richard,I have a little comb.,29
S02E18 Dr. Ramoray Dies.txt,Richard,A moustache comb.,29
S02E18 Dr. Ramoray Dies.txt,Richard,"No. You have got it completely wrong. John Savage was deerhunter, no legs, John Voit was coming home, couldn't feel his legs.",30
S02E18 Dr. Ramoray Dies.txt,Richard,Shall we?,31
S02E18 Dr. Ramoray Dies.txt,Richard,"Uh, in the future, if I could see the schedule beforehand...",31
S02E18 Dr. Ramoray Dies.txt,Richard,Hey.,43
