filename,character,dialogue,scene
S01E13 The Boobies.txt,Roger,That's pretty much it.,4
S01E13 The Boobies.txt,Roger,"But you tell it really well, sweetie.",4
S01E13 The Boobies.txt,Roger,Okay. I'll miss you.,4
S01E13 The Boobies.txt,Roger,"Did I, uh, did I miss something?",6
S01E13 The Boobies.txt,Roger,You're so funny! He's really funny! I wouldn't wanna be there when when the laughter stops.,7
S01E13 The Boobies.txt,Roger,"Oh, just seems as though that maybe you have intimacy issues. Y'know, that you use your humour as a way of keeping people at a distance.",7
S01E13 The Boobies.txt,Roger,"I mean hey! I just met you, I don't know you from Adam. ...Only child, right? Parents divorced before you hit puberty.",7
S01E13 The Boobies.txt,Roger,It's textbook.,7
S01E13 The Boobies.txt,Roger,Hi.,9
S01E13 The Boobies.txt,Roger,"You too, sir.",9
S01E13 The Boobies.txt,Roger,I dunno. Maybe you wanted your marriage to fail.,27
S01E13 The Boobies.txt,Roger,"I don't know. Maybe maybe low self-esteem, maybe maybe to compensate for overshadowing a sibling, maybe you...",27
S01E13 The Boobies.txt,Roger,"Well, I don't know. I mean, it's conceivable that you wanted to sabotage your marriage so that the sibling would feel less of a failure in the eyes of the parents.",27
S01E13 The Boobies.txt,Roger,"That's tough. Tough stuff. C'mon, Pheebs, we're gonna catch that movie, we gotta get going.",28
S01E13 The Boobies.txt,Roger,"Geez, we're gonna be late, sweetie...",28
S01E13 The Boobies.txt,Roger,"Listen guys, it was great seeing you again. Mon, um, easy on those cookies, okay? Remember, they're just food, they're not love.",28
S01E13 The Boobies.txt,Roger,"What's wrong, sweetie?",53
S01E13 The Boobies.txt,Roger,Oh. They don't.,54
S01E13 The Boobies.txt,Roger,What?,54
S01E13 The Boobies.txt,Roger,Oh.,54
S01E13 The Boobies.txt,Roger,"Well, I'm not I'm not at all surprised they feel that way.",54
S01E13 The Boobies.txt,Roger,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic. Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me! Define me! Love me, I need love!'.",54
S08E11 Rosss Step Forward.txt,Roger,Hey everybody.,33
