filename,character,dialogue,scene
S01E13 The Boobies.txt,Ronni,"Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani.",32
S01E13 The Boobies.txt,Ronni,That's a good one!,35
S01E13 The Boobies.txt,Ronni,Hi.,36
S01E13 The Boobies.txt,Ronni,"Look, I uh, I shouldn'ta come. I-I'd better get going, I don't wanna miss the last train.",37
S01E13 The Boobies.txt,Ronni,"Oh, where'm I gonna stay, here?",37
S01E13 The Boobies.txt,Ronni,No we won't.,38
S01E13 The Boobies.txt,Ronni,Wow. He's strict.,38
S01E13 The Boobies.txt,Ronni,"Thanks. You're, uh, you're a good kid.",38
S01E13 The Boobies.txt,Ronni,Hi.,41
S01E13 The Boobies.txt,Ronni,"Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?",41
S01E13 The Boobies.txt,Ronni,"Oh, I'm Ronni. Ronni Rappelano? The mistress?",41
S01E13 The Boobies.txt,Ronni,Thanks.,41
S01E13 The Boobies.txt,Ronni,Hi.,41
S01E13 The Boobies.txt,Ronni,Great.,41
S01E13 The Boobies.txt,Ronni,"Oh, like, uh, five minutes?",41
