filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Ross,Amazing!,8
S07E05 The Engagement Picture.txt,Ross,"Oh, you guys call him Cute Coffeehouse Guy, we call him Hums While He Pees.",10
S07E05 The Engagement Picture.txt,Ross,It’s not a club.,11
S07E05 The Engagement Picture.txt,Ross,"Hey, divorced men are not bad men!",11
S07E05 The Engagement Picture.txt,Ross,"Soon he’ll be able to call you, that lady he knew who got fired.",11
S07E05 The Engagement Picture.txt,Ross,Maybe I should open a divorced men’s club.,11
S07E05 The Engagement Picture.txt,Ross,I could put uh-uh a basketball court in the back.,11
S07E05 The Engagement Picture.txt,Ross,Yeah?,36
S07E05 The Engagement Picture.txt,Ross,What?! No!,37
S07E05 The Engagement Picture.txt,Ross,All right! I want my key back!,40
S07E05 The Engagement Picture.txt,Ross,"Look, I’m sorry but you-you-you better go Pheebs.",42
S07E05 The Engagement Picture.txt,Ross,Oh yeah—No—You’re welcome. We’ll talk about it later.,42
S07E05 The Engagement Picture.txt,Ross,Hi Whitney.,43
S07E05 The Engagement Picture.txt,Ross,Yes! That’s where we realized we were both super cool people!,47
S07E05 The Engagement Picture.txt,Ross,Like what?,47
S07E05 The Engagement Picture.txt,Ross,Okay.,47
S07E05 The Engagement Picture.txt,Ross,Fine! Thank you for warning me. At breakfast I’ll be on full alert for room painting and sex weapons.,47
S07E05 The Engagement Picture.txt,Ross,Yeah!,47
S07E05 The Engagement Picture.txt,Ross,"Pheebs come on! I mean, consider the source! Of course her ex-husband’s gonna say that stuff. Now, if you’ll excuse me…",47
S07E05 The Engagement Picture.txt,Ross,Hi.,71
S07E05 The Engagement Picture.txt,Ross,"Listen, you are hearing one side of the story, okay—and F.Y.I she must’ve shown Kyle over 30 paint samples before she painted that room! And his response to each one was, ""I don’t give a tiny rat’s ass.""",71
S07E05 The Engagement Picture.txt,Ross,"Well, I don’t think we are gonna have that problem, but maybe that’s just because I am not emotionally unavailable!",71
S07E05 The Engagement Picture.txt,Ross,I think he can be.,71
S07E05 The Engagement Picture.txt,Ross,"Well, excuse her for knowing what she wants to do with her life!",71
S07E05 The Engagement Picture.txt,Ross,My God!,78
S07E05 The Engagement Picture.txt,Ross,Well maybe she wouldn’t have to be selfish in bed if someone else knew where everything was!,78
S07E05 The Engagement Picture.txt,Ross,Wh-what’s up?,80
S07E05 The Engagement Picture.txt,Ross,Oh just say it Kyle!,81
S07E05 The Engagement Picture.txt,Ross,"It makes him miss the bowl, but whatever.",82
S07E05 The Engagement Picture.txt,Ross,"That’s all right, we-we don’t need you. In fact, hey I’m over it already.",83
S07E05 The Engagement Picture.txt,Ross,"Yeah, were better off without them.",85
S07E05 The Engagement Picture.txt,Ross,Divorced men’s club.,85
S01E18 All The Poker.txt,Ross,"Uh, Rach, we're running low on resumes over here.",2
S01E18 All The Poker.txt,Ross,"Rach, did you proofread these?",2
S01E18 All The Poker.txt,Ross,"Uh, nothing, I'm sure they'll be impressed with your excellent compuper skills.",2
S01E18 All The Poker.txt,Ross,I don't know.,12
S01E18 All The Poker.txt,Ross,What?,13
S01E18 All The Poker.txt,Ross,Who?,13
S01E18 All The Poker.txt,Ross,"We're fine, we're fine.",15
S01E18 All The Poker.txt,Ross,Uhhhh... Joey cried last night.,17
S01E18 All The Poker.txt,Ross,"Oh, guys, you should've seen him. 'Read 'em and weep.'",18
S01E18 All The Poker.txt,Ross,"No, women are welcome to play.",18
S01E18 All The Poker.txt,Ross,"Excuse me, do any of you know how to play?",18
S01E18 All The Poker.txt,Ross,"No. No, uh, Phoebs? You can't—you can't do...",21
S01E18 All The Poker.txt,Ross,"No, no. Uh... no, see, uh, you-you can't do that.",22
S01E18 All The Poker.txt,Ross,"Alright, now, you sure? Phoebe just threw away two jacks because they didn't look happy...",26
S01E18 All The Poker.txt,Ross,"The game, Rachel, the game. You owe us money for the game.",31
S01E18 All The Poker.txt,Ross,Well that's fine with me. Could use the money.,31
S01E18 All The Poker.txt,Ross,I'm not a nice guy.,35
S01E18 All The Poker.txt,Ross,"Alright boys, let's eat.",36
S01E18 All The Poker.txt,Ross,You still on that?,36
S01E18 All The Poker.txt,Ross,"You are way off, pal.",37
S01E18 All The Poker.txt,Ross,"Um.... no. See, I might've had feelings for her at one time—not any more. I just—I...",37
S01E18 All The Poker.txt,Ross,Marcel! Where are you going with that disc?,38
S01E18 All The Poker.txt,Ross,"You are not putting that on again! Marcel, OK—if you press that button, you are in very, very big trouble.",39
S01E18 All The Poker.txt,Ross,Alright.,49
S01E18 All The Poker.txt,Ross,I'm gonna pay for that tonight.,50
S01E18 All The Poker.txt,Ross,Hey.,51
S01E18 All The Poker.txt,Ross,"Uh, Rach, do you want me to shuffle those?",52
S01E18 All The Poker.txt,Ross,Alright.,52
S01E18 All The Poker.txt,Ross,"So, Phoebs owes $7.50, Monica, you owe $10, and Rachel, you owe fifteen big ones.",54
S01E18 All The Poker.txt,Ross,"Well, that just leaves the big Green poker machine, who owes fifteen...",55
S01E18 All The Poker.txt,Ross,"So, you gals wanna hand over your money now? That way, we don't have to go through the formality of actually playing.",57
S01E18 All The Poker.txt,Ross,Uh... to the bathroom.,59
S01E18 All The Poker.txt,Ross,"Oh, I am very in.",76
S01E18 All The Poker.txt,Ross,Show them to me!,81
S01E18 All The Poker.txt,Ross,Let me see! Show them!,81
S01E18 All The Poker.txt,Ross,"First of all, I'm not losing...",83
S01E18 All The Poker.txt,Ross,Let's not talk about losing. Just deal the...,84
S01E18 All The Poker.txt,Ross,"I thought, uh... it was a fifty cent limit.",94
S01E18 All The Poker.txt,Ross,Fifteen.,114
S01E18 All The Poker.txt,Ross,Thank you.,116
S01E18 All The Poker.txt,Ross,You got me.,120
S01E18 All The Poker.txt,Ross,Uh.... bean! Bean!,132
