filename,character,dialogue,scene
S10E11 The Stripper Cries.txt,Roy,"Ooh, boy. You should warn people there's no elevator! I should not have had that Mexican food for lunch.",43
S10E11 The Stripper Cries.txt,Roy,Goodbody!,43
S10E11 The Stripper Cries.txt,Roy,Are you talking about me?,45
S10E11 The Stripper Cries.txt,Roy,"Now if you just pay me my three hundred dollars, I'll be on my way!",49
S10E11 The Stripper Cries.txt,Roy,Didn't do anything? I took a bus all the way from Hoboken. I climbed ... I dunno... like a billion stairs... It's not like I can take them two at a time!,49
S10E11 The Stripper Cries.txt,Roy,"Well, look - it's not my fault if you're too uptight to appreciate the male form in all it's glory.",49
S10E11 The Stripper Cries.txt,Roy,What's the matter? You never saw a 50 year old stripper cry before?,96
S10E11 The Stripper Cries.txt,Roy,"No, no, you're right. Who am I kidding? I should have hung up that breakaway jockstrap years ago. What am I gonna do? I mean, this has been my life for thirty two years. Taking my clothes off in front of people is all I know.",96
S10E11 The Stripper Cries.txt,Roy,I don't know... I can make my pecs dance... I can pick up a dollar bill with my butt cheeks... I can go to that special place inside me where I feel no shame.,96
S10E11 The Stripper Cries.txt,Roy,"You know, actually that's not a bad idea. I can do it out of my apartment. I don't think my mom would mind.",96
S10E11 The Stripper Cries.txt,Roy,"Yeah, yeah, yeah... This is so weird. I mean, you never know when it's gonna be your last dance. And I didn't even get a chance to finish it.",96
S10E11 The Stripper Cries.txt,Roy,What?,97
S10E11 The Stripper Cries.txt,Roy,Really?,97
S10E11 The Stripper Cries.txt,Roy,"Okay, all right... Get ready ladies!",98
S02E14 The Prom Video.txt,Roy,"Oh, I'm gonna kick Chip's ass.",54
