filename,character,dialogue,scene
S02E10 Russ.txt,Russ,Hi.,40
S02E10 Russ.txt,Russ,"OK, I'll just sit here and... uh... chat with your, uh.... friend-type....people.",41
S02E10 Russ.txt,Russ,Hi.,46
S02E10 Russ.txt,Russ,"Are you a, uh, friend of Rachel's?",46
S02E10 Russ.txt,Russ,"Actually, I'm a... kind of a.... you know, a... date-type... thing... of Rachel's.",46
S02E10 Russ.txt,Russ,"Yeah, I'm her date.",46
S02E10 Russ.txt,Russ,"Oh, you are the, uh... paleontologist.",46
S02E10 Russ.txt,Russ,Periodontist.,46
S02E10 Russ.txt,Russ,Ditto.,46
S02E10 Russ.txt,Russ,Yeah.,47
S02E10 Russ.txt,Russ,Dysprosium.,58
S02E10 Russ.txt,Russ,You could not be more wrong. You could try... but you would not be successful.,62
S02E10 Russ.txt,Russ,I know what your problem is.,62
S02E10 Russ.txt,Russ,"Um-hum, you're jealous.",62
S02E10 Russ.txt,Russ,You're jealous because I'm a real doctor.,62
S02E10 Russ.txt,Russ,"Hey, you listen.",62
S02E10 Russ.txt,Russ,"No, let me finish.",62
S02E10 Russ.txt,Russ,Hi.,63
S02E10 Russ.txt,Russ,Hi.,79
S02E10 Russ.txt,Russ,"I guess you guys heard, Rachel dumped me.",79
S02E10 Russ.txt,Russ,"Oh, all she said was that I remind her too much of somebody. You have any idea who she's talking about?",79
S02E10 Russ.txt,Russ,Oh.,80
