filename,character,dialogue,scene
S09E06 The Male Nanny.txt,Sandy,It's okay. I get that a lot doing what I do. But I am straight. I-I'm engaged actually.,50
S09E06 The Male Nanny.txt,Sandy,Her name is Deliah.,50
S09E06 The Male Nanny.txt,Sandy,"I realise how it's... a bit unorthodox for some people, but I really believe, the most satisfying thing you can do with your life, is take care of a child.",51
S09E06 The Male Nanny.txt,Sandy,"Oh, oh, I can do it for her, if you want...",54
S09E06 The Male Nanny.txt,Sandy,"Well, her favourite flower is the camellia. From the poem...",74
S09E06 The Male Nanny.txt,Sandy,Who's up for puppets?,115
S09E06 The Male Nanny.txt,Sandy,"Well, please welcome... The Snufflebumps... Who wants to be mr. Wigglemunch and who's gonna be the Grumpus?",115
S09E06 The Male Nanny.txt,Sandy,"Oh, no, no, no... That's okay. I got a lot of offers from other families. I just picked you guys because... I liked you the best.",133
S09E06 The Male Nanny.txt,Sandy,"No, none at all. You need to be happy with whoever is in your home... Although if you don't mind telling me, what was your problem? Maybe it's something I can work on in the future.",134
S09E06 The Male Nanny.txt,Sandy,"That's fair... Although, can I ask... why do you think that is?",135
S09E06 The Male Nanny.txt,Sandy,That must have been hard.,138
S09E06 The Male Nanny.txt,Sandy,But you are a real boy!,138
S09E06 The Male Nanny.txt,Sandy,It's allright! Crying is good. It lets the boo-hoos out.,139
S09E06 The Male Nanny.txt,Sandy,"Oh, I gotta go.",140
S09E06 The Male Nanny.txt,Sandy,Twenty bucks.,140
S01E10 The Monkey.txt,Sandy,"Hi, I'm Sandy.",48
S01E10 The Monkey.txt,Sandy,"Yeah. That's okay, right?",49
S01E10 The Monkey.txt,Sandy,"Y'know, when I saw you at the store last week, it was probably the first time I ever mentally undressed an elf.",54
S01E10 The Monkey.txt,Sandy,Yeah.,54
