filename,character,dialogue,scene
S09E23-S09E24 In Barbados.txt,Sarah,Thank you so much!,12
S09E23-S09E24 In Barbados.txt,Sarah,"I'm sorry, I don't own a TV.",14
S10E09 The Birth Mother.txt,Sarah,"Mmmh, those fries look delicious.",63
S10E09 The Birth Mother.txt,Sarah,"Oh, that is so sweet..",69
S10E09 The Birth Mother.txt,Sarah,What? what is the matter with you?,72
S10E09 The Birth Mother.txt,Sarah,"But you just said ""What's mine is yours""?",72
S10E09 The Birth Mother.txt,Sarah,"Fine, I'm sorry, I didn't think it was that big a deal.",72
S10E09 The Birth Mother.txt,Sarah,Mmmm! Mmm!,85
S10E09 The Birth Mother.txt,Sarah,"Oh, no! This is work. I should call in. Can you excuse me?",86
S10E09 The Birth Mother.txt,Sarah,What are you doing? I thought you don't share food.,87
S03E10 Rachel Quits.txt,Sarah,"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a real space shuttle.",23
S03E10 Rachel Quits.txt,Sarah,"Yeah. My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he’d be able to afford a trip to the Taj Mahal.",23
S03E10 Rachel Quits.txt,Sarah,"No. The one in Atlantic City, Dad loves the slots. He says he’s gonna double the college money my Grandma left me.",23
S03E10 Rachel Quits.txt,Sarah,The girl who won last year sold four hundred and seventy-five.,23
S03E10 Rachel Quits.txt,Sarah,"So far, I’ve sold seventy-five.",23
S03E10 Rachel Quits.txt,Sarah,Five dollars a box.,24
S03E10 Rachel Quits.txt,Sarah,"A ten speed bike. But, I’d rather have something my Dad couldn’t sell.",25
S03E10 Rachel Quits.txt,Sarah,"Could you do me one favor, if it’s not too much trouble?",25
S03E10 Rachel Quits.txt,Sarah,"Could you pull open the curtains for me? The astronauts from the space shuttle are gonna be on the news, and since we don’t have a TV, the lady across the alley said she’d push hers up to a window, so I could watch it.",25
S03E10 Rachel Quits.txt,Sarah,"Really Mr. Geller, you don’t have to do this.",81
