filename,character,dialogue,scene
S01E08 Nana Dies Twice.txt,Shelley,"Hey gorgeous, how's it going?",1
S01E08 Nana Dies Twice.txt,Shelley,"Question. You're not dating anybody, are you, because I met somebody who would be perfect for you.",1
S01E08 Nana Dies Twice.txt,Shelley,Do you want a date Saturday?,1
S01E08 Nana Dies Twice.txt,Shelley,"Okay. He's cute, he's funny, he's-",1
S01E08 Nana Dies Twice.txt,Shelley,Oh! Okay! Phew!,34
S01E08 Nana Dies Twice.txt,Shelley,"I dunno, uh... you just have a-a...",34
S01E08 Nana Dies Twice.txt,Shelley,"Y'know, it's a shame, because you and Lowell would've made a great couple.",34
S01E08 Nana Dies Twice.txt,Shelley,What? He's cute!,34
S01E08 Nana Dies Twice.txt,Shelley,Is Brian...?,34
S01E08 Nana Dies Twice.txt,Shelley,"Well, I think Brian's a little out of your league.",34
