filename,character,dialogue,scene
S03E20 The Dollhouse.txt,Sophie,"Hey, Rach!",6
S03E20 The Dollhouse.txt,Sophie,Hey.,6
S03E20 The Dollhouse.txt,Sophie,"Uh, uh, uh, I am here.",14
S03E20 The Dollhouse.txt,Sophie,Isn’t this great?!,40
S03E20 The Dollhouse.txt,Sophie,"Maybe he’s intimated by really smart, strong, successful women.",64
S04E09 Theyre Going To Party.txt,Sophie,She’s not making me uncomfortable.,36
S04E03 The Cuffs.txt,Sophie,Hi! I brought you back a macaroon!,52
S04E03 The Cuffs.txt,Sophie,Y’know why? She’s got the Christmas bonus list in there. I saw her working on it this morning.,53
S04E03 The Cuffs.txt,Sophie,Yeah!,53
S03E15 Ross And Rachel Take A Break.txt,Sophie,"You brought a picnic, oh, what a boyfriend. That’s it, on Monday I start wearing make-up.",42
S03E15 Ross And Rachel Take A Break.txt,Sophie,"Actually, that’s our three hole punch.",54
