filename,character,dialogue,scene
S06E02 Ross Hugs Rachel.txt,Stephanie,"Well the divorces don’t bother me, I’d date him. But, not while he’s still married.",44
S02E06 The Baby On The Bus.txt,Stephanie,Yeah. I'm Stephanie.,20
S02E06 The Baby On The Bus.txt,Stephanie,All of them.,20
S02E06 The Baby On The Bus.txt,Stephanie,Yeah.,20
S02E06 The Baby On The Bus.txt,Stephanie,Yeah.,20
S02E06 The Baby On The Bus.txt,Stephanie,Yeah.,20
S02E06 The Baby On The Bus.txt,Stephanie,No.,20
S02E06 The Baby On The Bus.txt,Stephanie,"Smelly cat, smel-ly cat...",33
S02E06 The Baby On The Bus.txt,Stephanie,Yeah?,33
S02E06 The Baby On The Bus.txt,Stephanie,Yeah.,33
S02E06 The Baby On The Bus.txt,Stephanie,Yeah. From the top?,33
S02E06 The Baby On The Bus.txt,Stephanie,Ok.,33
