filename,character,dialogue,scene
S09E14 The Blind Dates.txt,Steve,I'm kind of funny looking.,29
S09E14 The Blind Dates.txt,Steve,"Oh, come on, you're way out of my league. Everybody in here knows it. Bet that guy over there's probably saying, ""ooh, why she out with him? He must be rich!"" Well, I'm not!",29
S09E14 The Blind Dates.txt,Steve,"I'm not funny either. So, if you were thinking, ""well, he's not that good-looking, but maybe we'll have some laughs""... That ain't gonna happen.",30
S09E14 The Blind Dates.txt,Steve,I lost it. To drugs.,30
S09E14 The Blind Dates.txt,Steve,I silk-screen t-shirts now.,31
S09E14 The Blind Dates.txt,Steve,"It's really fulfilling doing something you hate for no money. That's right. I have no money, I'm not funny, I live in a studio apartment with two other guys, and I'm pretty sure I'm infertile.",31
S09E14 The Blind Dates.txt,Steve,I do like my hair.,32
S09E14 The Blind Dates.txt,Steve,Really?,54
S09E14 The Blind Dates.txt,Steve,"Look, I think I know the answer to this question, but... Would you like to make love to me?",67
S09E14 The Blind Dates.txt,Steve,"Eh, it's just as well. Doesn't work anyway.",67
S09E14 The Blind Dates.txt,Steve,I have such fat hands!,79
S05E15 The Girl Who Hits Joey.txt,Steve,Oh hi Phoebe.,31
S05E15 The Girl Who Hits Joey.txt,Steve,I came to talk to you about Howard.,31
S05E15 The Girl Who Hits Joey.txt,Steve,"Yeah, he's the handy man. He's gonna be retiring next week and everyone who lives here is kicking in a 100 bucks as a thank you for all the hard work type of thing.",31
S05E15 The Girl Who Hits Joey.txt,Steve,"Yeah. So, do you want to give a check? Or…",31
S05E15 The Girl Who Hits Joey.txt,Steve,"Well, the guy's worked here for 25 years.",32
S05E15 The Girl Who Hits Joey.txt,Steve,Howard's the handy man!,33
S05E15 The Girl Who Hits Joey.txt,Steve,3-B!,81
S05E15 The Girl Who Hits Joey.txt,Steve,"Okay, you got your free food! You ruined everyone's fun! Don't you think it's time you went home?!",81
S05E15 The Girl Who Hits Joey.txt,Steve,"Go back to 3-B, 3-B!",81
S01E15 The Stoned Guy.txt,Steve,It's a lovely apartment.,83
S01E15 The Stoned Guy.txt,Steve,"I was just being polite, but, alright.",83
S01E15 The Stoned Guy.txt,Steve,"Well, smack my ass and call me Judy! These are fantastic!",87
S01E15 The Stoned Guy.txt,Steve,Like 'em? I could eat a hundred of them!,87
S01E15 The Stoned Guy.txt,Steve,"You know, I don't know what I'm looking for.",88
S01E15 The Stoned Guy.txt,Steve,Macaroni and cheese! We gotta make this!,92
S01E15 The Stoned Guy.txt,Steve,"Alright, we'll share.",96
S01E15 The Stoned Guy.txt,Steve,What?,98
S01E15 The Stoned Guy.txt,Steve,Why?,98
S01E15 The Stoned Guy.txt,Steve,Eeeee!,108
S01E15 The Stoned Guy.txt,Steve,Aaaaah!,109
S01E15 The Stoned Guy.txt,Steve,No.,110
S01E15 The Stoned Guy.txt,Steve,Aaaaahhh!!,111
S09E18 The Lottery.txt,Steve,"Chandler, hi! I'm sure you've heard we filled the three positions. We just felt that with your maturity and experience, you wouldn't be happy being someone's assistant.",100
S09E18 The Lottery.txt,Steve,"Chandler, you were the strongest person in the program. We're offering you the position of junior copywriter.",100
S09E18 The Lottery.txt,Steve,"Yes, that's right. We're excited about the level of sophistication you'll be bringing to the job.",100
S02E05 Five Steaks And An Eggplant.txt,Steve,"Excuse me, you're Monica Geller aren't you?",22
S02E05 Five Steaks And An Eggplant.txt,Steve,You used to be my babysitter.,22
S02E05 Five Steaks And An Eggplant.txt,Steve,"Good, good, I'm a lawyer now.",22
S02E05 Five Steaks And An Eggplant.txt,Steve,"Listen, it was nice to see you. I gotta run backstage.",22
S02E05 Five Steaks And An Eggplant.txt,Steve,"Oh, yeah, my firm represents the band.",22
S02E05 Five Steaks And An Eggplant.txt,Steve,"How are you? Look, you guys wanna meet the group? Come on. So, are you one of the ones who fooled around with my dad?",22
