filename,character,dialogue,scene
S02E02 The Breast Milk.txt,Susan,"Oh, is he hungry already?",4
S02E02 The Breast Milk.txt,Susan,"Oh, I got that for him.",32
S02E02 The Breast Milk.txt,Susan,This should be fun.,44
S02E02 The Breast Milk.txt,Susan,Cantaloupe juice.,46
S02E02 The Breast Milk.txt,Susan,Uh huh.,47
S02E02 The Breast Milk.txt,Susan,"You can keep saying it, but it won't stop being true.",47
S01E16 The Two Parts Part I.txt,Susan,Like lovers.,16
S01E16 The Two Parts Part I.txt,Susan,"Carol, not me.",17
S01E16 The Two Parts Part I.txt,Susan,But we’re fine.,17
S01E16 The Two Parts Part I.txt,Susan,Stuck at school. Some parent-teacher thing. You can go. I’ll get the information.,39
S01E16 The Two Parts Part I.txt,Susan,"Oh, good. This’ll be fun.",39
S01E16 The Two Parts Part I.txt,Susan,I am supposed to be the mommy?,40
S01E16 The Two Parts Part I.txt,Susan,"Look, I don’t see why I should have to miss out on the coaching training just because I’m a woman.",40
S01E16 The Two Parts Part I.txt,Susan,I will flip you for it.,40
S01E16 The Two Parts Part I.txt,Susan,"What is, honey?",87
S01E16 The Two Parts Part I.txt,Susan,"Carol, Carol, sweetie. Cleansing breath.",88
S01E16 The Two Parts Part I.txt,Susan,"I know it’s frightening, but, big picture. The birth part is just one day, and when it’s over, we’re all gonna be parents for the rest of our lives.",89
S01E16 The Two Parts Part I.txt,Susan,"I mean, that’s what this is all about, right? Ross? Ross?",90
S01E12 The Dozen Lasagnas.txt,Susan,"Oh, hello Ross!",37
S01E12 The Dozen Lasagnas.txt,Susan,"So, so, did you hear?",37
S01E12 The Dozen Lasagnas.txt,Susan,"Oh, well, is it what we thought it would be?",39
S06E15-S06E16 That Could Have Been Part I  II.txt,Susan,"Oh, I wouldn’t miss it for the world.",140
S04E18 Rachels New Dress.txt,Susan,"Hey, it’s so nice to finally meet you!",13
S04E18 Rachels New Dress.txt,Susan,"Oh yeah, I’m so excited, I’ve never been there.",13
S04E18 Rachels New Dress.txt,Susan,"That would be great! Also, uh, I was hoping to catch a show so if you can make any suggestions…",13
S04E18 Rachels New Dress.txt,Susan,Ahh!,13
S04E18 Rachels New Dress.txt,Susan,"Oh, he’s fine. He’s fine. It’s just that us getting along is difficult for him, because he doesn’t like me.",14
S04E18 Rachels New Dress.txt,Susan,Hey!,62
S02E11 The Lesbian Wedding.txt,Susan,The other us.,3
S02E11 The Lesbian Wedding.txt,Susan,Is your finger caught in that chair?,3
S02E11 The Lesbian Wedding.txt,Susan,How you doin'?,37
S02E11 The Lesbian Wedding.txt,Susan,You did a good thing today.,37
S02E11 The Lesbian Wedding.txt,Susan,You wanna dance?,37
S02E11 The Lesbian Wedding.txt,Susan,Come on. I'll let you lead.,37
S01E09 Underdog Gets Away.txt,Susan,"No, she's at a faculty meeting.",14
S01E09 Underdog Gets Away.txt,Susan,What's it look like?,14
S01E09 Underdog Gets Away.txt,Susan,"Yes, I'm familiar with the concept. We can just look for it.",14
S01E09 Underdog Gets Away.txt,Susan,"Well, you know, you have to take a course. Otherwise, they don't let you do it.",15
S01E09 Underdog Gets Away.txt,Susan,"Actually, I'm reading it to the baby.",16
S01E09 Underdog Gets Away.txt,Susan,"What, you don't think they can hear sounds in there?",16
S01E09 Underdog Gets Away.txt,Susan,"Yeah, all the time. I want the baby to know my voice.",16
S01E09 Underdog Gets Away.txt,Susan,"Yeah, yeah, all the time.",16
S01E09 Underdog Gets Away.txt,Susan,"But um, we just refer to you as Bobo the Sperm Guy.",16
S01E09 Underdog Gets Away.txt,Susan,"Hi, how's it goin?",51
S01E09 Underdog Gets Away.txt,Susan,Keep singing! Keep singing!,52
S01E09 Underdog Gets Away.txt,Susan,I felt it!,53
S01E23 The Birth.txt,Susan,We stopped at the gift shop.,7
S01E23 The Birth.txt,Susan,They're every four minutes and last 55 seconds.,13
S01E23 The Birth.txt,Susan,"Swiss quartz, ha, ha.",14
S01E23 The Birth.txt,Susan,"No, I'm getting it. I'll be right back.",14
S01E23 The Birth.txt,Susan,Breathe.,37
S01E23 The Birth.txt,Susan,Breathe.,37
S01E23 The Birth.txt,Susan,Breathe.,37
S01E23 The Birth.txt,Susan,"It's gonna be ok, just remember, we're doing this for Jordie. Just keep focusing on Jordie.",37
S01E23 The Birth.txt,Susan,Your son.,37
S01E23 The Birth.txt,Susan,I got it.,37
S01E23 The Birth.txt,Susan,"No, you don't.",37
S01E23 The Birth.txt,Susan,He started it!,37
S01E23 The Birth.txt,Susan,You did!,37
S01E23 The Birth.txt,Susan,"How, how is this my fault?",46
S01E23 The Birth.txt,Susan,"Yeah? Well, there's a lot of things Carol never did before I came along.",46
S01E23 The Birth.txt,Susan,You know what your problem is? You're threatened by me.,46
S01E23 The Birth.txt,Susan,Yes.,46
S01E23 The Birth.txt,Susan,"What're you gonna do, suck the door open?",56
S01E23 The Birth.txt,Susan,The woman I love is having a baby today. I've been waiting for this just as much as you have.,70
S01E23 The Birth.txt,Susan,"You get to be the baby's father. Everyone knows who you are. Who am I? There's Mother's Day, there's Father's Day, there's no... Lesbian Lover Day.",70
S01E23 The Birth.txt,Susan,What do you see?,78
S01E23 The Birth.txt,Susan,What do you see? What do you see?,88
S01E23 The Birth.txt,Susan,"Oh, look at that.",88
S01E23 The Birth.txt,Susan,"No shouting, but we still need a name for this little guy.",91
S01E23 The Birth.txt,Susan,I like Ben.,92
S01E23 The Birth.txt,Susan,That's what we were off doing.,92
S01E23 The Birth.txt,Susan,Thanks.,95
S01E02 The Sonogram At The End.txt,Susan,Hi.,51
S01E02 The Sonogram At The End.txt,Susan,Ross.,51
S01E02 The Sonogram At The End.txt,Susan,She.,52
S01E02 The Sonogram At The End.txt,Susan,We agreed on Minnie.,61
S01E02 The Sonogram At The End.txt,Susan,"Oh, please! What's wrong with Helen?",68
S01E02 The Sonogram At The End.txt,Susan,It's my baby too.,68
S01E02 The Sonogram At The End.txt,Susan,"Yeah, and we all know what a challenge that is!",68
S01E02 The Sonogram At The End.txt,Susan,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",68
S01E02 The Sonogram At The End.txt,Susan,Look at that.,71
S03E04 The Metaphorical Tunnel.txt,Susan,"He carries it everywhere, it's like a security blanket, but with ski boots and a kicky beret.",22
S03E04 The Metaphorical Tunnel.txt,Susan,So he's got a doll? So what? Unless you're afraid he's gonna grow up and be in show business.,22
S03E04 The Metaphorical Tunnel.txt,Susan,"What'd you do, dip it in sugar?",73
S03E04 The Metaphorical Tunnel.txt,Susan,I've literally never been this happy.,74
S02E20 Old Yeller Dies.txt,Susan,Hey.,14
S02E20 Old Yeller Dies.txt,Susan,What?,14
S02E20 Old Yeller Dies.txt,Susan,You can watch our tape if you want.,14
S02E20 Old Yeller Dies.txt,Susan,"Oh shout, that would have been fun.",14
S02E20 Old Yeller Dies.txt,Susan,"Yeah, a woman I went to college with just became the first female blacksmith down there.",21
S02E20 Old Yeller Dies.txt,Susan,That's so exciting.,43
S02E20 Old Yeller Dies.txt,Susan,"Ok, this could go on for a while.",43
S02E20 Old Yeller Dies.txt,Susan,Suddenly I'm seeing him go off to college.,43
