filename,character,dialogue,scene
S02E12-S02E13 The Superbowl.txt,Susie,We've got a problem.,60
S02E12-S02E13 The Superbowl.txt,Susie,I can't do Chris's makeup. She refuses to acknowledge that she has a moustasche.,60
S02E12-S02E13 The Superbowl.txt,Susie,"It looks like one of her eyebrows fell down. Now unless someone convinces her to let me bleach it, Jean-Claude Van Damme is gonna be making out with Gabe Kaplan.",60
S02E12-S02E13 The Superbowl.txt,Susie,I hate actors.,60
S02E12-S02E13 The Superbowl.txt,Susie,Excuse me.,61
S02E12-S02E13 The Superbowl.txt,Susie,"Uh, is your name Chandler?",61
S02E12-S02E13 The Superbowl.txt,Susie,Chandler Bing?,61
S02E12-S02E13 The Superbowl.txt,Susie,"I'm Susie Moss. Fourth grade, glasses, I used to carry around a box of animal crackers like a purse.",61
S02E12-S02E13 The Superbowl.txt,Susie,It's nice to see you're not still wearing that denim cap with all the little mirrors on it.,61
S02E12-S02E13 The Superbowl.txt,Susie,"Remember the class play? You, you pulled up my skirt and the entire auditorium saw my underpants.",61
S02E12-S02E13 The Superbowl.txt,Susie,"OK, well then who was the kid that got caught masturbating?",63
S02E12-S02E13 The Superbowl.txt,Susie,"Oh that's me, I gotta go.",64
S02E12-S02E13 The Superbowl.txt,Susie,"Um, so listen, how many times am I gonna have to touch you on the arm before you ask me on a date.",64
S02E12-S02E13 The Superbowl.txt,Susie,"I'll be there, and who knows, if things go well, maybe this time I'll get to see your underwear.",64
S02E12-S02E13 The Superbowl.txt,Susie,"Oh, shoot, we gotta go, got a reservation in 30 minutes.",69
S02E12-S02E13 The Superbowl.txt,Susie,"Oh, 200 seconds of passion. We gotta go.",69
S02E12-S02E13 The Superbowl.txt,Susie,"But um, here's an idea, have you ever worn women's underwear?",69
S02E12-S02E13 The Superbowl.txt,Susie,"Well I was thinking it would be um, kind of sexy if you wore mine tonight, at dinner.",69
S02E12-S02E13 The Superbowl.txt,Susie,Could ya?,69
S02E12-S02E13 The Superbowl.txt,Susie,How you doin there squirmy?,79
S02E12-S02E13 The Superbowl.txt,Susie,How come all I can think about is putting that ice in my mouth and licking you all over?,79
S02E12-S02E13 The Superbowl.txt,Susie,"I want you right here, right now.",79
S02E12-S02E13 The Superbowl.txt,Susie,C'mon.,83
S02E12-S02E13 The Superbowl.txt,Susie,"Alright mister, let's see those panties.",83
S02E12-S02E13 The Superbowl.txt,Susie,Ooh. Ooh. But ya know what would be even sexier?,84
S02E12-S02E13 The Superbowl.txt,Susie,If you didn't have your shirt tucked into them.,84
S02E12-S02E13 The Superbowl.txt,Susie,Alright. Now I would like to see you wearing nothing but them. Take your clothes off.,84
S02E12-S02E13 The Superbowl.txt,Susie,"C'mon hurry, hurry.",84
S02E12-S02E13 The Superbowl.txt,Susie,"Alright, turn around. Time to see you from behind.",84
S02E12-S02E13 The Superbowl.txt,Susie,"Oh, somebody's been doing his buns of steel video.",85
S02E12-S02E13 The Superbowl.txt,Susie,This is for the fourth grade.,85
S02E12-S02E13 The Superbowl.txt,Susie,"Whaddo I mean. Whaddya mean, whaddo I mean? I mean underpants, mister, that's what I mean.",85
S02E12-S02E13 The Superbowl.txt,Susie,"My skirt, you lifted, kids laughing. I was Susie Underpants 'till I was 18.",85
