filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Tag,I just did them.,12
S07E05 The Engagement Picture.txt,Tag,What?,12
S07E05 The Engagement Picture.txt,Tag,"Yeah, I filled them out last night?",12
S07E05 The Engagement Picture.txt,Tag,Good morning.,50
S07E05 The Engagement Picture.txt,Tag,Oh yeah! We went to the Knicks game.,50
S07E05 The Engagement Picture.txt,Tag,Then we went to this bar and he hooked us up with all these women!,50
S07E05 The Engagement Picture.txt,Tag,"Well kinda old, like 30.",50
S07E05 The Engagement Picture.txt,Tag,"And I never used to be able to just talk to girls in bars, but I got like 20 phone numbers last night.",51
S07E05 The Engagement Picture.txt,Tag,A little.,51
S07E05 The Engagement Picture.txt,Tag,"Hey Joey, you wanted to talk to me?",65
S07E05 The Engagement Picture.txt,Tag,"Oh, yeah, this is from Rachel.",65
S07E05 The Engagement Picture.txt,Tag,Really?,66
S07E05 The Engagement Picture.txt,Tag,Good morning Rachel.,75
S07E05 The Engagement Picture.txt,Tag,Went out with Joey.,76
S07E05 The Engagement Picture.txt,Tag,No. We had a really good talk. I don’t think I’m gonna do that bar scene anymore.,76
S07E05 The Engagement Picture.txt,Tag,"It’s just not really who I am. Y'know, I’ve always been happier when…Why am I telling you this? You don’t care about this stuff.",76
S07E05 The Engagement Picture.txt,Tag,"When I’m in a relationship, I love having a girlfriend.",76
S07E05 The Engagement Picture.txt,Tag,"Someone I can spoil, y’know?",76
S07E05 The Engagement Picture.txt,Tag,Uh-huh! Let me ask you something?,76
S07E05 The Engagement Picture.txt,Tag,Do you believe that there is one perfect person for everyone?,76
S07E05 The Engagement Picture.txt,Tag,"And if that person is already in your life, you should do something about it right?",76
S07E05 The Engagement Picture.txt,Tag,"All right then, it’s settled.",76
S07E05 The Engagement Picture.txt,Tag,I’m gettin’ back together with my ex-girlfriend.,76
S07E05 The Engagement Picture.txt,Tag,What?,76
S07E08 Chandler Doesnt Like Dogs.txt,Tag,"I, uh, wanted to see if your offer to spend Thanksgiving with you is still good.",28
S07E08 Chandler Doesnt Like Dogs.txt,Tag,We kinda broke up this morning.,29
S07E08 Chandler Doesnt Like Dogs.txt,Tag,"Yeah, so she went back to Ohio.",29
S07E08 Chandler Doesnt Like Dogs.txt,Tag,You don't like puppies?,40
S07E08 Chandler Doesnt Like Dogs.txt,Tag,Hey.,48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,Not bad.,48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,Thanks.,48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,A year. On and off. I kinda thought we'd end up together. I don't anymore.,48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,Yeah.,48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,"It's weird. I always used to assume, that I would meet someone and fall in love and be happy and all that was just a given. But lately it's like what if it's not. Do you ever have that feeling?",48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,Why?,48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,"You have all the answers, don't you?",48
S07E08 Chandler Doesnt Like Dogs.txt,Tag,"Hey, thanks for talking to me.",48
