filename,character,dialogue,scene
S01E16 The Two Parts Part I.txt,Teacher,"Good for you. Alrighty, next?",15
S01E16 The Two Parts Part I.txt,Teacher,"I’m sorry, I didn’t get... Susan is?",16
S01E16 The Two Parts Part I.txt,Teacher,"Alrighty. We’re gonna start with some basic third stage breathing exercises, so Mummies, why don’t you get on your back? And... coaches, you should be supporting Mummy’s head.",39
S01E16 The Two Parts Part I.txt,Teacher,"Alright, Mommies, take a nice deep cleansing breath.",42
S01E16 The Two Parts Part I.txt,Teacher,Good. Now imagine your vagina is opening like a flower.,43
S01E16 The Two Parts Part I.txt,Teacher,Lights please? And that’s having a baby. Next week is our final class.,85
S01E21 The Fake Monica.txt,Teacher,May I help you?,19
S01E21 The Fake Monica.txt,Teacher,You don't observe a dance class. You dance a dance class. Spare shoes are over there.,19
S01E21 The Fake Monica.txt,Teacher,"Let's get started. Five, six, a-five six seven eight...",22
S01E21 The Fake Monica.txt,Teacher,"Alright people, now everyone grab a partner.",25
S01E21 The Fake Monica.txt,Teacher,"Well that's all right, you can come up to the front and dance with me.",26
S01E21 The Fake Monica.txt,Teacher,She's your partner.,27
S01E21 The Fake Monica.txt,Teacher,"And we're dancing. A-five, six, seven, eight...",29
S01E21 The Fake Monica.txt,Teacher,You by the door. In or out?,47
S01E21 The Fake Monica.txt,Teacher,"You in the back, you're getting it all wrong!",48
