filename,character,dialogue,scene
S07E04 Rachels Assistant.txt,Terry,Hey-hey-hey Joey!,40
S07E04 Rachels Assistant.txt,Terry,Good to see you again!,40
S07E04 Rachels Assistant.txt,Terry,It’s a different building.,40
S07E04 Rachels Assistant.txt,Terry,Why don’t we start right now!,40
S07E04 Rachels Assistant.txt,Terry,Why would you think that?,42
S07E04 Rachels Assistant.txt,Terry,Everybody has to audition.,42
S07E04 Rachels Assistant.txt,Terry,I’m sorry Joey that’s…that’s the way it is.,43
S07E04 Rachels Assistant.txt,Terry,I can’t help you Joey.,86
S02E06 The Baby On The Bus.txt,Terry,"Uh, Rachel, sweetheart, could I see ya for a minute?",11
S02E06 The Baby On The Bus.txt,Terry,F.Y.I.. I've decided to pay a professional musician to play in here on Sunday afternoons. Her name is Stephanie... something. She's supposed to be very good.,11
S02E06 The Baby On The Bus.txt,Terry,"Rachel, it's not that your friend is bad, it's that she's so bad, she makes me want to put my finger through my eye into my brain and swirl it around.",11
S02E06 The Baby On The Bus.txt,Terry,Uh--,11
S02E06 The Baby On The Bus.txt,Terry,"I, I don't know.",15
S02E06 The Baby On The Bus.txt,Terry,You don't clean the cappuccino machine?,15
S02E06 The Baby On The Bus.txt,Terry,"Oh, all right, fine, fine, fine.",15
S01E09 Underdog Gets Away.txt,Terry,An advance?,2
S01E09 Underdog Gets Away.txt,Terry,"Rachel, Rachel, sweetheart. You're a terrible, terrible waitress. Really, really awful.",2
