filename,character,dialogue,scene
S09E17 The Memorial Service.txt,Tom,"Hi, you're Chandler Bing, right? I'm Tom Gordon, I was in your class.",83
S09E17 The Memorial Service.txt,Tom,"Thanks... uh... I'm so sorry about Ross, it's...",83
S09E17 The Memorial Service.txt,Tom,"Oh, actually I barely knew him. Yeah, I came because I heard Chandler's news. D'you know if he's seeing anyone?",85
S09E17 The Memorial Service.txt,Tom,What? You... You... Oh! Can I ask you a personal question? Ho-how do you shave your beard so close?,86
S05E07 Ross Moves In.txt,Tom,"So you work at Bloomingdale's, huh? My mom calls it Bloomies.",106
S05E07 Ross Moves In.txt,Tom,I'm sorry?,107
S05E07 Ross Moves In.txt,Tom,"I'm gonna go talk to uh, a friend.",107
S07E15 Joeys New Brain.txt,Tom,Hi!,83
S07E15 Joeys New Brain.txt,Tom,No that’s my assistant.,85
S07E15 Joeys New Brain.txt,Tom,"Umm, no.",86
S07E15 Joeys New Brain.txt,Tom,Sure!,86
S07E15 Joeys New Brain.txt,Tom,Sure.,86
S07E15 Joeys New Brain.txt,Tom,"So, which one of you lovely ladies am I going to take to dinner huh?",91
