filename,character,dialogue,scene
S03E22 The Screamer.txt,Tommy,Hey.,18
S03E22 The Screamer.txt,Tommy,Okay.,20
S03E22 The Screamer.txt,Tommy,I’ll get our seats.,20
S03E22 The Screamer.txt,Tommy,Yeah?,21
S03E22 The Screamer.txt,Tommy,"Oh, I didn’t, I didn’t know that.",21
S03E22 The Screamer.txt,Tommy,I think we’re here.,21
S03E22 The Screamer.txt,Tommy,Yeah.,21
S03E22 The Screamer.txt,Tommy,Can-can we take a look at your ticket?,22
S03E22 The Screamer.txt,Tommy,"Oh, you thought, huh? Yeah, well that didn’t really work out too well for you did it you idiot!! What are you?! A moron!! Huh?! It says D-13! Okay?! Look you’re surrounded by even numbers!! Did that give you some clue?!",24
S03E22 The Screamer.txt,Tommy,Whoa!!,66
S03E22 The Screamer.txt,Tommy,"What’s in the cup, Ross?",66
S03E22 The Screamer.txt,Tommy,What is in the cup?!,66
S03E22 The Screamer.txt,Tommy,Ice coffee? Tell me it’s ice coffee!,66
S03E22 The Screamer.txt,Tommy,"Hot coffee!!! You idiot!! You were gonna spill hot coffee all over me, huh?!! What are you just some big, dumb, stupid, doofy idiot, with a doofy idiot hairdo, huh?! Huh?!",66
S03E22 The Screamer.txt,Tommy,"Ooh, I don’t know. Probably the smell of freshly cut grass.",69
S03E22 The Screamer.txt,Tommy,"Hey, mind if I use the phone?",82
S03E22 The Screamer.txt,Tommy,"Yeah, but you didn’t.",84
