filename,character,dialogue,scene
S01E16 The Two Parts Part I.txt,Ursula,"Hi. Okay, will that be all?",5
S01E16 The Two Parts Part I.txt,Ursula,"Yeah, um, I was over there, then you said, ""Excuse me, hello Miss,"" so now I’m here.",5
S01E16 The Two Parts Part I.txt,Ursula,"Right, yeah, ’cause its close to where I live, and the aprons are really cute.",5
S01E16 The Two Parts Part I.txt,Ursula,"Yeah, um, may we help you?",112
S04E01 The Jellyfish.txt,Ursula,Hey!,69
S04E01 The Jellyfish.txt,Ursula,"Right, okay, the one that lives in Montuak, umm-hmm.",69
S04E01 The Jellyfish.txt,Ursula,"No, I umm, I read about her in Mom’s suicide note.",70
S04E01 The Jellyfish.txt,Ursula,Yeah. So how have you been doing?,72
S04E01 The Jellyfish.txt,Ursula,"Well, it’s pretty much the gist. Well, except for the poem. You read the poem, right?",74
S08E06 The Halloween Party.txt,Ursula,"Umm, nothing. I mean, I’m getting married next week.",9
S08E06 The Halloween Party.txt,Ursula,"Wait! If umm, if you want to come, I guess that’d be okay.",11
S08E06 The Halloween Party.txt,Ursula,Sure! Why not? You could be my sister for the day.,11
S08E06 The Halloween Party.txt,Ursula,"Huh. Well, I’m supposed to be working at the restaurant tonight. I’m supposed to be working right now, so who cares.",11
S08E06 The Halloween Party.txt,Ursula,Hey!,78
S08E06 The Halloween Party.txt,Ursula,Well they could be true.,78
S08E06 The Halloween Party.txt,Ursula,"Yeah, it’s a fine line huh?",78
S08E06 The Halloween Party.txt,Ursula,"I don’t know. He said he did all this stuff and then I said I did it too and he got so excited, it was really fun.",78
S08E06 The Halloween Party.txt,Ursula,"Y’know, we’d really better get going.",80
S08E06 The Halloween Party.txt,Ursula,Hurry up I gotta pray!!,106
S06E14 Chandler Cant Cry.txt,Ursula,Who is it?,58
S06E14 Chandler Cant Cry.txt,Ursula,Hey!,59
S06E14 Chandler Cant Cry.txt,Ursula,No I’m not.,60
S06E14 Chandler Cant Cry.txt,Ursula,"Yeah, can I help you with something?",61
S06E14 Chandler Cant Cry.txt,Ursula,"Y’know, twin stuff is always a real big seller.",61
S06E14 Chandler Cant Cry.txt,Ursula,"Yeah, I can talk them into giving you like, 30 dollars.",61
S07E14 They All Turn Thirty.txt,Ursula,"Right, why do you keep saying that?",59
S07E14 They All Turn Thirty.txt,Ursula,"Oh, it’s you.",61
S07E14 They All Turn Thirty.txt,Ursula,"Yeah, we’re not thirty, we’re 31.",61
S07E14 They All Turn Thirty.txt,Ursula,Yea-huh! That’s what is says on my birth certificate.,61
S07E14 They All Turn Thirty.txt,Ursula,"Yeah, I got a big box of family stuff when my mom died.",61
S07E14 They All Turn Thirty.txt,Ursula,"No, I sold it to a Swedish runaway.",62
S07E14 They All Turn Thirty.txt,Ursula,Yeah.,63
S07E14 They All Turn Thirty.txt,Ursula,Yes.,64
S07E14 They All Turn Thirty.txt,Ursula,Yes! Phoebe.,64
S07E14 They All Turn Thirty.txt,Ursula,"Right, okay, then no.",64
S01E17 The Two Parts Part II.txt,Ursula,Oh!,97
S01E17 The Two Parts Part II.txt,Ursula,Uh-huh.,99
S01E17 The Two Parts Part II.txt,Ursula,"Right... Oh, I got something for you, too.",103
S01E17 The Two Parts Part II.txt,Ursula,"Um, yeah, um, twin thing.",104
S01E17 The Two Parts Part II.txt,Ursula,"Oh, right. He is so great. But that's over.",108
S01E17 The Two Parts Part II.txt,Ursula,Who?,109
S01E17 The Two Parts Part II.txt,Ursula,He is? Why?,109
S01E17 The Two Parts Part II.txt,Ursula,Right.,109
S01E17 The Two Parts Part II.txt,Ursula,Excuse me. Doesn't this come with a side salad?,110
S01E17 The Two Parts Part II.txt,Ursula,You have not changed!,113
S05E13 Joeys Bag.txt,Ursula,Who is it?,21
S05E13 Joeys Bag.txt,Ursula,"Umm, yeah—no thanks.",22
S05E13 Joeys Bag.txt,Ursula,Wow! Didn't she die like five years ago?,22
S05E13 Joeys Bag.txt,Ursula,"Okay, I know that I went to that all ready.",22
S05E13 Joeys Bag.txt,Ursula,"Well, then who's been dead for five years?",22
S05E13 Joeys Bag.txt,Ursula,"Umm, no. See I already thought she was dead so I kinda made my peace with it. Plus, I'm going to a concert tomorrow. So… I'd invite you, but umm, I only have two tickets left.",22
S05E13 Joeys Bag.txt,Ursula,Thanks! Enjoy your funeral.,23
