filename,character,dialogue,scene
S09E10 Christmas In Tulsa.txt,Wendy,Hey!,11
S09E10 Christmas In Tulsa.txt,Wendy,*Now* it feels like Christmas.,15
S09E10 Christmas In Tulsa.txt,Wendy,That was a nice pep-talk.,15
S09E10 Christmas In Tulsa.txt,Wendy,"So, if you were home right now, what would you be doing?",15
S09E10 Christmas In Tulsa.txt,Wendy,Naah... I couldn't leave you alone.,42
S09E10 Christmas In Tulsa.txt,Wendy,"Besides, I can't leave until their Christmas party downstairs clears out; there are some *pissed off* insurance people looking for that ham.",42
S09E10 Christmas In Tulsa.txt,Wendy,Ah. Fun conversation?,55
S09E10 Christmas In Tulsa.txt,Wendy,Oh. - What's *that* like?,64
S09E10 Christmas In Tulsa.txt,Wendy,"Seriously? Happily married. So that phone call before, that was ... happy?",64
S09E10 Christmas In Tulsa.txt,Wendy,"Okay, let me ask you something: if what you and your wife have is so great, then why are you spending Christmas with me?",64
