filename,character,dialogue,scene
S08E09 The Rumor.txt,Will,Hey!,22
S08E09 The Rumor.txt,Will,Happy Thanksgiving!,23
S08E09 The Rumor.txt,Will,"150 pounds. Yeah, I’m gonna be in one of those Subway sandwich commercials.",23
S08E09 The Rumor.txt,Will,"Oh right. All right, it’s no fat, it’s no sugar, it’s no dairy…it’s no good. Throw it out.",24
S08E09 The Rumor.txt,Will,Hey.,24
S08E09 The Rumor.txt,Will,"Sure! Monica, I can’t get over how great you look! You look stunning!",26
S08E09 The Rumor.txt,Will,Ross is coming. Great! I love Ross!,26
S08E09 The Rumor.txt,Will,Oh.,27
S08E09 The Rumor.txt,Will,"Nope. Uh, it’s okay. It’s just uh, God I hated her.",27
S08E09 The Rumor.txt,Will,"I actually know what you’re talking about. I’m here to tell you something my friend, you can eat and eat and eat but nothing will ever fill that void.",30
S08E09 The Rumor.txt,Will,Hello.,32
S08E09 The Rumor.txt,Will,Ross!,33
S08E09 The Rumor.txt,Will,It’s good to see you man.,34
S08E09 The Rumor.txt,Will,I’m a commodities broker.,34
S08E09 The Rumor.txt,Will,"Yeah, it’s not. But I’m rich and thin.",34
S08E09 The Rumor.txt,Will,That was such a fun night!,34
S08E09 The Rumor.txt,Will,Yeah.,34
S08E09 The Rumor.txt,Will,God we were lame back then. Do you remember how into dinosaurs we were?,34
S08E09 The Rumor.txt,Will,"So what do you, what do you do now?",35
S08E09 The Rumor.txt,Will,"Oh, I’ll-I’ll be fine. Just God I hate her Ross! I hate her!",38
S08E09 The Rumor.txt,Will,Look at her standing there with those yams! My two greatest enemies Ross: Rachel Green and complex carbohydrates.,38
S08E09 The Rumor.txt,Will,Right.,43
S08E09 The Rumor.txt,Will,Oh I-I remember you.,43
S08E09 The Rumor.txt,Will,You are unbelievable.,43
S08E09 The Rumor.txt,Will,"Oh, you’d like that wouldn’t ya?",48
S08E09 The Rumor.txt,Will,I don’t know? Do I? Do I?,52
S08E09 The Rumor.txt,Will,A little mean? You made my life miserable!,53
S08E09 The Rumor.txt,Will,Well you should be. Screw it! Bring on the yams!,53
S08E09 The Rumor.txt,Will,Yams!!!!,53
S08E09 The Rumor.txt,Will,"Oh, it wasn’t just me. We had a club!",54
S08E09 The Rumor.txt,Will,"That’s right, The I Hate Rachel Green Club!",54
S08E09 The Rumor.txt,Will,You went out with her?! We had a pact!,58
S08E09 The Rumor.txt,Will,Then why did it have the word eternity in it?,58
S08E09 The Rumor.txt,Will,Co-founded!,59
S08E09 The Rumor.txt,Will,"Uh, except that it was really the I Hate Rachel Club.",59
S08E09 The Rumor.txt,Will,"Well, we did a little more than that.",59
S08E09 The Rumor.txt,Will,We started a rumor.,59
S08E09 The Rumor.txt,Will,"That’s right! We said your parents flipped a coin, decided to raise you as a girl, but you still had a hint of a penis.",59
S08E09 The Rumor.txt,Will,Could you also tell them I’m skinny now?,68
S08E09 The Rumor.txt,Will,Mrs. Altman? She also made out with Takaka Ci-Kek the night before he went back to Thailand.,70
S08E09 The Rumor.txt,Will,Hold on! You got her pregnant?,74
S08E09 The Rumor.txt,Will,Are ya getting married?,74
