filename,character,dialogue,scene
S01E16 The Two Parts Part I.txt,Woman,"Hi, we’re the Rostins. Err, I’m J.C., and he’s Michael, and we’re having a boy, and a girl.",15
S05E11 All The Resolutions.txt,Woman,I'll see you tomorrow.,17
S04E20 The Wedding Dresses.txt,Woman,I’m Marjorie.,53
S09E03 The Pediatrician.txt,Woman,"Wow, so your child is a big fan of the Waldo books too?",73
S07E19 Ross And Monicas Cousin.txt,Woman,Hi!,55
S07E19 Ross And Monicas Cousin.txt,Woman,Oh thank you.,56
S07E19 Ross And Monicas Cousin.txt,Woman,No.,58
S07E19 Ross And Monicas Cousin.txt,Woman,I was her accountant four years ago.,61
S07E19 Ross And Monicas Cousin.txt,Woman,I’m very interested to find out who’s been doing her taxes these last four years.,61
S07E19 Ross And Monicas Cousin.txt,Woman,"So, what time is Monica supposed to get here?",61
S04E04 The Ballroom Dancing.txt,Woman,"Hi, I’m Maria.",31
S06E15-S06E16 That Could Have Been Part I  II.txt,Woman,Hey Pheebs! How’s it going?!,187
S06E15-S06E16 That Could Have Been Part I  II.txt,Woman,"Wow! Well, welcome back!",187
S07E06 The Nap Partners.txt,Woman,"Excuse me, I-I couldn’t help overhearing, you’re marrying Chandler Bing?",6
S09E23-S09E24 In Barbados.txt,Woman,"Oh my God, I can't believe you're here!",9
S09E23-S09E24 In Barbados.txt,Woman,"Doctor Geller, I'm such a huge fan!",10
S09E23-S09E24 In Barbados.txt,Woman,"I've been following your career for years, I-I can't wait for your keynote speech.",10
S09E23-S09E24 In Barbados.txt,Woman,Sarah.,12
S09E23-S09E24 In Barbados.txt,Woman,Jarvis?,252
S07E07 Rosss Library Book.txt,Woman,"Uh, actually I find Marion’s views far to progressionist.",51
S07E07 Rosss Library Book.txt,Woman,"I’m sorry, who are you?",51
S07E07 Rosss Library Book.txt,Woman,"Y’know, you look nothing like I would’ve thought. You’re…you’re so young.",52
S08E01 I Do.txt,Woman,"Oh hi, I’m, I’m Mona from her restaurant.",28
S03E20 The Dollhouse.txt,Woman,"Hi, oh, I’m Lauren, Kate’s understudy.",26
S08E19 Joeys Interview.txt,Woman,"Hi, is Rachel here? I’m her sister.",125
S10E14 Princess Consuela.txt,Woman,"Oh hey, how are you?",95
S03E12 All The Jealousy.txt,Woman,Mark!!,61
S03E12 All The Jealousy.txt,Woman,"Yeah, but even soo.",61
S08E03 Rachel Tells....txt,Woman,Sorry. We didn’t hear you; we’re on our honeymoon.,33
S08E03 Rachel Tells....txt,Woman,Well you can have the suite if you want. We don’t care about where we stay. We’re here to celebrate our love together. We don’t have to get free stuff. We just want to be together.,78
S03E09 The Football.txt,Woman,I’m Dutch.,33
S03E09 The Football.txt,Woman,I’m Margha.,33
S06E12 The Joke.txt,Woman,I’d love an ice water.,50
S01E14 The Candy Hearts.txt,Woman,"Hi, Ross.",2
S02E11 The Lesbian Wedding.txt,Woman,"You know, I uh, I couldn't help but overhear what you just said, and I think it's time for you to forget about Rose, move on with your life...how 'bout we go get you a drink?",34
S03E14 Phoebes Ex-Partner.txt,Woman,"Someone was in the lady's room, I couldn’t wait. I left the lid up for ya though.",21
S03E14 Phoebes Ex-Partner.txt,Woman,Ginger.,23
S01E05 The East German Laundry Detergent.txt,Woman,"Comin' through. Move, move.",32
S01E05 The East German Laundry Detergent.txt,Woman,"Yeah, well, now you're kinda not.",32
S01E05 The East German Laundry Detergent.txt,Woman,"Oh, I'm sorry, is that your basket? It's really pretty. Unfortunately, I don't see suds.",32
S01E05 The East German Laundry Detergent.txt,Woman,"No suds, no save. Ok?",32
S01E05 The East German Laundry Detergent.txt,Woman,"Hey, hey, hey, her stuff wasn't in it.",34
S01E05 The East German Laundry Detergent.txt,Woman,"Yeah, well, I had a 24-inch waist. You lose things. Now come on, get outta my way.",66
S01E05 The East German Laundry Detergent.txt,Woman,"Hey, hey, hey there aren't any clothes in it.",67
S01E05 The East German Laundry Detergent.txt,Woman,Let go!,67
S08E20 The Baby Shower.txt,Woman,It’s a diaper genie.,36
S08E20 The Baby Shower.txt,Woman,No! It’s where you put the dirty ones!,36
S08E20 The Baby Shower.txt,Woman,It’s actually a bassinet.,38
S09E16 The Boob Job.txt,Woman,Excuse me.,26
S08E23 Rachel Has A Baby.txt,Woman,Thanks.,18
S08E23 Rachel Has A Baby.txt,Woman,Don’t worry about it.,19
S08E23 Rachel Has A Baby.txt,Woman,"Oooh, that sounded like a bad one.",65
S01E15 The Stoned Guy.txt,Woman,Chandler.,9
S09E12 Phoebes Rats.txt,Woman,"Hi, is Molly here?",64
S07E23 Chandler And Monicas Wedding.txt,Woman,I’m Amanda.,56
S07E22 Chandlers Dad.txt,Woman,Hi!,89
S07E22 Chandlers Dad.txt,Woman,I don’t think so.,89
S07E22 Chandlers Dad.txt,Woman,Wow!,89
S07E22 Chandlers Dad.txt,Woman,Really?!,89
S01E21 The Fake Monica.txt,Woman,"It's okay, it's okay, I'm here, I'm here. Sorry I'm late, okay, here I am. Who's the new tense girl?",27
S01E21 The Fake Monica.txt,Woman,Hi. I'm Monica.,27
S03E10 Rachel Quits.txt,Woman,"You’re no Brown Bird, I can see you through my peephole.",27
S03E10 Rachel Quits.txt,Woman,What does that mean?,28
S03E10 Rachel Quits.txt,Woman,"I can dial 9-1-1 at the touch of a button, y'know. Now, go away!",28
S03E10 Rachel Quits.txt,Woman,"I’m pressing, a policeman is on his way.",28
S03E10 Rachel Quits.txt,Woman,I can still see you!,29
S06E05 Joeys Porsche.txt,Woman,I bet it’s fast.,19
S06E05 Joeys Porsche.txt,Woman,Yeah!,19
S07E17 The Cheap Wedding Dress.txt,Woman,Hey!,44
S06E13 Rachels Sister.txt,Woman,Hi!,4
S06E13 Rachels Sister.txt,Woman,How much do I owe you for the muffin and the latte?,4
S06E13 Rachels Sister.txt,Woman,"Oh great! Well, tell him thanks. And since uh, Joey seems like such a nice guy, maybe we could go on a date sometime?",4
S06E13 Rachels Sister.txt,Woman,"Hi, is Rachel here? I’m her sister.",14
S06E13 Rachels Sister.txt,Woman,What do you mean? Yesterday you said I was too pretty to pay for stuff!,50
S06E13 Rachels Sister.txt,Woman,Amy!,51
S09E13 Monica Sings.txt,Woman,You already hit on me an hour ago,13
S08E18 In Massapequa.txt,Woman,"And also, congratulations on your wedding.",20
S08E18 In Massapequa.txt,Woman,Ross!,20
S08E18 In Massapequa.txt,Woman,We were surprise that we weren’t invited.,28
S08E18 In Massapequa.txt,Woman,Really?,28
S08E18 In Massapequa.txt,Woman,Oh my God. That sounds amazing. I would love to see pictures.,29
S08E18 In Massapequa.txt,Woman,Blind?,36
S07E02 Rachels Book.txt,Woman,"Hi, is uh Phoebe here?",34
S07E02 Rachels Book.txt,Woman,Ohh great.,34
S07E02 Rachels Book.txt,Woman,"Well, I don’t know. Are you a masseur?",34
