filename,character,dialogue,scene
S09E22 The Donor.txt,Zack,Thanks.,45
S09E22 The Donor.txt,Zack,Thanks! Do you have a coaster? I don't wanna make a ring.,48
S09E22 The Donor.txt,Zack,You guys have such a great place here.,63
S09E22 The Donor.txt,Zack,Uhm... no. Although I did have an uncle who voted for Dukakis.,63
S09E22 The Donor.txt,Zack,"You guys don't have people for dinner a lot, huh?",66
S09E22 The Donor.txt,Zack,Ok. I heard a joke today. It's pretty funny...,67
S09E22 The Donor.txt,Zack,"Ok listen, you guys have shown a lot of interest in me tonight and I'm flattered and... and quite frankly a little frightened. Can we just talk about something else?",68
S09E22 The Donor.txt,Zack,Ravioli's delicious!,68
S09E22 The Donor.txt,Zack,No I didn't.,68
S09E22 The Donor.txt,Zack,"I'm gonna take off now. You're gonna let me go home, aren't you?",95
S09E22 The Donor.txt,Zack,"No, no, I should get home, I'm kinda tired.",95
S09E22 The Donor.txt,Zack,No it's just tiring having to figure out the age at which all my grandparents died. I'll see you tomorrow.,95
S09E22 The Donor.txt,Zack,No you didn't.,105
S09E22 The Donor.txt,Zack,No you did.,105
S09E22 The Donor.txt,Zack,"Oh, thank you.",107
